code,description,last_updated
100426-6,Squalene [Mass/volume] in Serum or Plasma,2.73
100427-4,Stigmasterol [Mass/volume] in Serum or Plasma,2.73
100428-2,Carnitine free and total and acylcarnitine panel - Urine,2.78
100429-0,LRBA deficiency panel - Blood,2.73
100430-8,Cells.LRBA+/Cells.CD3+CD14-CD45+ in Blood by Flow cytometry (FC),2.79
100431-6,Cells.CD3+CD14-CD45+.LRBA mean fluorescence intensity in Blood by Flow cytometry (FC),2.73
100432-4,Cells.LRBA+/Cells.CD3-CD14-CD19+CD45+ in Blood by Flow cytometry (FC),2.79
100433-2,Cells.CD3-CD14-CD19+CD45+.LRBA mean fluorescence intensity in Blood by Flow cytometry (FC),2.73
100434-0,Orthopoxvirus.non-variola DNA [Presence] in Specimen by NAA with probe detection,2.73
100435-7,Glial fibrillary acidic protein [Mass/volume] in Serum by Immunoassay,2.73
100436-5,Ubiquitin carboxyl-terminal hydrolase-L1 [Mass/volume] in Serum by Immunoassay,2.73
100437-3,Norsufentanil [Mass/volume] in Urine by Confirmatory method,2.73
10043-8,S wave amplitude in lead V4,2.48
100438-1,Adolescent medicine Outpatient Progress note,2.73
100439-9,Allergy and Immunology Outpatient Progress note,2.73
100440-7,Allergy Outpatient Progress note,2.73
100441-5,Attending Outpatient Progress note,2.73
100442-3,Audiology Outpatient Progress note,2.73
100443-1,Bariatric surgery Outpatient Progress note,2.73
100444-9,Blood banking and transfusion medicine Outpatient Progress note,2.73
100445-6,Bone Marrow Transplant Outpatient Progress note,2.73
10044-6,S wave amplitude in lead V5,2.48
100446-4,Breastfeeding Outpatient Progress note,2.73
100447-2,Burn management Outpatient Progress note,2.73
100448-0,Cardiac surgery Outpatient Progress note,2.73
100449-8,Cardiopulmonary Outpatient Progress note,2.78
100450-6,Child and adolescent psychiatry Outpatient Progress note,2.73
100451-4,Chiropractic medicine Outpatient Progress note,2.73
100452-2,Clinical cardiac electrophysiology Outpatient Progress note,2.73
10045-3,S wave amplitude in lead V6,2.48
100453-0,Clinical genetics Outpatient Progress note,2.73
100454-8,Clinical neurophysiology Outpatient Progress note,2.73
100455-5,Clinical pathology Outpatient Progress note,2.73
100456-3,Colon and rectal surgery Outpatient Progress note,2.73
100457-1,Consultant Outpatient Progress note,2.73
100458-9,Outpatient COVID-19 Intubation Progress note,2.73
100459-7,Outpatient COVID-19 Progress note,2.73
100460-5,Dermatology Outpatient Progress note,2.73
10046-1,S wave duration in lead AVF,2.48
100461-3,Developmental-behavioral pediatrics Outpatient Progress note,2.73
100462-1,Dialysis and Therapeutic apheresis Outpatient Progress note,2.73
100463-9,Eating disorders Outpatient Progress note,2.73
100464-7,Endocrinology Outpatient Progress note,2.73
100465-4,Family medicine Outpatient Progress note,2.73
100466-2,Gastroenterology Outpatient Progress note,2.73
100467-0,Geriatric medicine Outpatient Progress note,2.73
100468-8,Gynecologic oncology Outpatient Progress note,2.73
100469-6,Gynecology Outpatient Progress note,2.73
100470-4,Healthcare navigator Outpatient Progress note,2.73
100471-2,Heart failure Outpatient Progress note,2.73
100472-0,Heart failure+Transplant cardiology Outpatient Progress note,2.73
100473-8,Hematology Outpatient Progress note,2.73
100474-6,Hematology+Medical oncology Outpatient Progress note,2.73
100475-3,Hepatology Outpatient Progress note,2.73
100476-1,Immunology Outpatient Progress note,2.73
100477-9,Infectious disease Outpatient Progress note,2.73
100478-7,Internal medicine Outpatient Progress note,2.73
10047-9,S wave duration in lead AVL,2.48
100479-5,Interventional cardiology Outpatient Progress note,2.73
100480-3,Interventional radiology Outpatient Progress note,2.73
100481-1,Outpatient Mechanical circulatory support Progress note,2.73
100482-9,Medical Aid in Dying Outpatient Progress note,2.73
100483-7,Mental health Outpatient Progress note,2.73
100484-5,Multi-specialty program Outpatient Progress note,2.73
100485-2,Neonatal perinatal medicine Outpatient Progress note,2.73
100486-0,Nephrology Outpatient Progress note,2.73
10048-7,S wave duration in lead AVR,2.48
100487-8,Neurological surgery Outpatient Progress note,2.73
100488-6,Neurology Outpatient Progress note,2.73
100489-4,Neurology with special qualifications in child neurology Outpatient Progress note,2.73
100490-2,Nurse practitioner Outpatient Progress note,2.73
100491-0,Nurse Outpatient Progress note,2.73
100492-8,Nutrition and dietetics Outpatient Progress note,2.73
100493-6,Obstetrics and Gynecology Outpatient Progress note,2.73
100494-4,Obstetrics Outpatient Progress note,2.73
10049-5,S wave duration in lead I,2.48
100495-1,Occupational therapy Outpatient Progress note,2.73
100496-9,Oncology Outpatient Progress note,2.73
100497-7,Ophthalmology Outpatient Progress note,2.73
100498-5,Optometry Outpatient Progress note,2.73
100499-3,Oral and Maxillofacial Surgery Outpatient Progress note,2.73
100500-8,Orthopaedic surgery Outpatient Progress note,2.73
100501-6,Orthotics prosthetics Outpatient Progress note,2.73
100502-4,Otolaryngology Outpatient Progress note,2.73
10050-3,S wave duration in lead II,2.48
100503-2,Pain medicine Outpatient Progress note,2.73
100504-0,Palliative care Outpatient Progress note,2.73
100505-7,Pediatric cardiology Outpatient Progress note,2.73
100506-5,Pediatric dermatology Outpatient Progress note,2.73
100507-3,Pediatric endocrinology Outpatient Progress note,2.73
100508-1,Pediatric gastroenterology Outpatient Progress note,2.73
100509-9,Pediatric hematology-oncology Outpatient Progress note,2.73
100510-7,Pediatric infectious diseases Outpatient Progress note,2.73
10051-1,S wave duration in lead III,2.48
100511-5,Pediatric otolaryngology Outpatient Progress note,2.73
100512-3,Pediatric pulmonology Outpatient Progress note,2.73
100513-1,Pediatric rheumatology Outpatient Progress note,2.73
100514-9,Pediatric surgery Outpatient Progress note,2.73
100515-6,Pediatric transplant hepatology Outpatient Progress note,2.73
100516-4,Pediatric urology Outpatient Progress note,2.73
100517-2,Pharmacogenomics Outpatient Progress note,2.73
100518-0,Physical medicine and rehab Outpatient Progress note,2.73
100519-8,Physical therapy Outpatient Progress note,2.73
100520-6,Plastic surgery Outpatient Progress note,2.73
100521-4,Podiatry Outpatient Progress note,2.73
100522-2,Psychiatry Hospital Progress note,2.73
100523-0,Psychology Outpatient Progress note,2.73
100524-8,Pulmonary Outpatient Progress note,2.73
100525-5,Radiation oncology Outpatient Progress note,2.73
100526-3,Radiology Outpatient Progress note,2.73
100527-1,Recreational therapy Outpatient Progress note,2.73
100528-9,Reproductive endocrinology and infertility Outpatient Progress note,2.73
10052-9,S wave duration in lead V1,2.48
100529-7,Research Outpatient Progress note,2.73
100530-5,Rheumatology Outpatient Progress note,2.73
100531-3,Sleep medicine Outpatient Progress note,2.73
100532-1,Social worker Outpatient Progress note,2.73
100533-9,Solid Organ Transplant Outpatient Progress note,2.73
100534-7,Speech-language pathology Outpatient Progress note,2.73
100535-4,Spinal surgery Outpatient Progress note,2.73
100536-2,Sports medicine Outpatient Progress note,2.73
10053-7,S wave duration in lead V2,2.48
100537-0,Surgery of the hand Outpatient Progress note,2.73
100538-8,Telehealth+Outpatient Progress note,2.73
100539-6,Thromboembolism Outpatient Progress note,2.73
100540-4,Transplant surgery Outpatient Progress note,2.73
100541-2,Trauma Outpatient Progress note,2.73
100542-0,Urology Outpatient Progress note,2.73
100543-8,Vascular neurology Outpatient Progress note,2.73
100544-6,Vascular surgery Outpatient Progress note,2.73
10054-5,S wave duration in lead V3,2.48
100545-3,Wound care management Outpatient Progress note,2.73
100546-1,"Wound, Ostomy, and Continence Care Outpatient Progress note",2.73
100547-9,Adolescent medicine Hospital Progress note,2.73
100548-7,Allergy and Immunology Hospital Progress note,2.73
100549-5,Allergy Hospital Progress note,2.73
100550-3,Attending Hospital Progress note,2.73
100551-1,Audiology Hospital Progress note,2.73
10055-2,S wave duration in lead V4,2.48
100552-9,Bariatric surgery Hospital Progress note,2.73
100553-7,Blood banking and transfusion medicine Hospital Progress note,2.73
100554-5,Bone Marrow Transplant Hospital Progress note,2.73
100555-2,Breastfeeding Hospital Progress note,2.73
100556-0,Burn management Hospital Progress note,2.73
100557-8,Cardiac surgery Hospital Progress note,2.73
100558-6,Cardiopulmonary Hospital Progress note,2.78
100559-4,Child and adolescent psychiatry Hospital Progress note,2.73
10056-0,S wave duration in lead V5,2.48
100560-2,Clinical cardiac electrophysiology Hospital Progress note,2.73
100561-0,Clinical genetics Hospital Progress note,2.73
100562-8,Clinical neurophysiology Hospital Progress note,2.73
100563-6,Clinical pathology Hospital Progress note,2.73
100564-4,Colon and rectal surgery Hospital Progress note,2.73
100565-1,Consultant Hospital Progress note,2.73
100566-9,Dentistry Hospital Progress note,2.73
100567-7,Dermatology Hospital Progress note,2.73
100568-5,Developmental-behavioral pediatrics Hospital Progress note,2.73
100569-3,Dialysis and Therapeutic apheresis Hospital Progress note,2.73
100570-1,Eating disorders Hospital Progress note,2.73
100571-9,Endocrinology Hospital Progress note,2.73
100572-7,Family medicine Hospital Progress note,2.73
100573-5,Gastroenterology Hospital Progress note,2.73
100574-3,General medicine Hospital Progress note,2.73
100575-0,Geriatric medicine Hospital Progress note,2.73
100576-8,Gynecologic oncology Hospital Progress note,2.73
100577-6,Gynecology Hospital Progress note,2.73
10057-8,S wave duration in lead V6,2.48
100578-4,Healthcare navigator Hospital Progress note,2.73
100579-2,Heart failure Hospital Progress note,2.73
1005-8,Indirect antiglobulin test.IgG specific reagent [Presence] in Serum or Plasma,2.73
100580-0,Heart failure+Transplant cardiology Hospital Progress note,2.73
100581-8,Hematology Hospital Progress note,2.73
100582-6,Hematology+Medical oncology Hospital Progress note,2.73
100583-4,Hepatology Hospital Progress note,2.73
100584-2,Immunology Hospital Progress note,2.73
100585-9,Infectious disease Hospital Progress note,2.73
10058-6,S' wave amplitude in lead AVF,2.48
100586-7,Internal medicine Hospital Progress note,2.73
100587-5,Interventional cardiology Hospital Progress note,2.73
100588-3,Interventional radiology Hospital Progress note,2.73
100589-1,Hospital Mechanical circulatory support Progress note,2.73
100590-9,Medical Aid in Dying Hospital Progress note,2.73
100591-7,Mental health Hospital Progress note,2.73
100592-5,Multi-specialty program Hospital Progress note,2.73
100593-3,Neonatal perinatal medicine Hospital Progress note,2.73
10059-4,S' wave amplitude in lead AVL,2.48
100594-1,Nephrology Hospital Progress note,2.73
100595-8,Neurological surgery Hospital Progress note,2.73
100596-6,Neurology Hospital Progress note,2.73
100597-4,Neurology with special qualifications in child neurology Hospital Progress note,2.73
100598-2,Nurse practitioner Hospital Progress note,2.73
100599-0,Nurse Hospital Progress note,2.73
100600-6,Nutrition and dietetics Hospital Progress note,2.73
100601-4,Obstetrics and Gynecology Hospital Progress note,2.73
10060-2,S' wave amplitude in lead AVR,2.48
100602-2,Obstetrics Hospital Progress note,2.73
100603-0,Occupational therapy Hospital Progress note,2.73
100604-8,Oncology Hospital Progress note,2.73
100605-5,Ophthalmology Hospital Progress note,2.73
100606-3,Oral and Maxillofacial Surgery Hospital Progress note,2.73
100607-1,Orthopaedic surgery Hospital Progress note,2.73
100608-9,Orthotics prosthetics Hospital Progress note,2.73
100609-7,Otolaryngology Hospital Progress note,2.73
10061-0,S' wave amplitude in lead I,2.48
100610-5,Pain medicine Hospital Progress note,2.73
100611-3,Palliative care Hospital Progress note,2.73
100612-1,Pastoral care Hospital Progress note,2.73
100613-9,Pediatric cardiology Hospital Progress note,2.73
100614-7,Pediatric dermatology Hospital Progress note,2.73
100615-4,Pediatric endocrinology Hospital Progress note,2.73
100616-2,Pediatric gastroenterology Hospital Progress note,2.73
100617-0,Pediatric hematology-oncology Hospital Progress note,2.73
100618-8,Pediatric infectious diseases Hospital Progress note,2.73
100619-6,Pediatric otolaryngology Hospital Progress note,2.73
100620-4,Pediatric pulmonology Hospital Progress note,2.73
100621-2,Pediatric rheumatology Hospital Progress note,2.73
100622-0,Pediatric surgery Hospital Progress note,2.73
100623-8,Pediatric transplant hepatology Hospital Progress note,2.73
100624-6,Pharmacogenomics Hospital Progress note,2.73
100625-3,Pharmacology Hospital Progress note,2.73
100626-1,Physical medicine and rehab Hospital Progress note,2.73
100627-9,Physical therapy Hospital Progress note,2.73
10062-8,S' wave amplitude in lead II,2.48
100628-7,Plastic surgery Hospital Progress note,2.73
100629-5,Podiatry Hospital Progress note,2.73
100630-3,Psychology Hospital Progress note,2.73
100631-1,Radiation oncology Hospital Progress note,2.73
100632-9,Radiology Hospital Progress note,2.73
100633-7,Rapid response team Hospital Progress note,2.81
100634-5,Recreational therapy Hospital Progress note,2.73
100635-2,Reproductive endocrinology and infertility Hospital Progress note,2.73
10063-6,S' wave amplitude in lead III,2.48
100636-0,Research Hospital Progress note,2.73
100637-8,Rheumatology Hospital Progress note,2.73
100638-6,Sleep medicine Hospital Progress note,2.73
100639-4,Social worker Hospital Progress note,2.73
100640-2,Solid Organ Transplant Hospital Progress note,2.73
100641-0,Speech-language pathology Hospital Progress note,2.73
100642-8,Spinal surgery Hospital Progress note,2.73
100643-6,Surgery of the hand Hospital Progress note,2.73
10064-4,S' wave amplitude in lead V1,2.48
100644-4,Thromboembolism Hospital Progress note,2.73
100645-1,Trauma Hospital Progress note,2.73
100646-9,Urology Hospital Progress note,2.73
100647-7,Vascular neurology Hospital Progress note,2.73
100648-5,Vascular surgery Hospital Progress note,2.73
100649-3,Wound care management Hospital Progress note,2.73
100650-1,"Wound, Ostomy, and Continence Care Hospital Progress note",2.73
10065-1,S' wave amplitude in lead V2,2.48
100651-9,Hospital COVID-19 Intubation Progress note,2.73
100652-7,Pure tone bone conduction threshold audiometry panel,2.73
100653-5,Pure tone air conduction threshold audiometry panel,2.73
100654-3,Pyruvate kinase M2 [Presence] in Stool,2.73
100655-0,XR Sella turcica Lateral,2.73
100656-8,Maternal and fetal medicine Outpatient Progress note,2.73
100657-6,Maternal and fetal medicine Telephone encounter+Hospital Progress note,2.73
100658-4,Hospital COVID-19 Progress note,2.73
100659-2,Maternal and fetal medicine Hospital Progress note,2.73
1006-6,Direct antiglobulin test.IgG specific reagent [Interpretation] on Red Blood Cells,2.73
100660-0,Maternal and fetal medicine Telephone encounter+Outpatient Progress note,2.73
100661-8,Psychiatry Outpatient Progress note,2.73
100662-6,Cortisol free and total panel - Serum or Plasma,2.73
100663-4,TPMT gene c.460G>A and c.719A>G [Presence] in Blood by Molecular genetics method,2.73
100664-2,NUDT15 gene c.50_55dup and c.415C>T [Presence] in Blood by Molecular genetics method,2.73
100665-9,NUDT15 gene c.415C>T [Presence] in Blood by Molecular genetics method,2.73
100666-7,NUDT15 gene c.416G>A [Presence] in Blood by Molecular genetics method,2.73
100667-5,NUDT15 gene c.52G>A [Presence] in Blood by Molecular genetics method,2.73
100668-3,NUDT15 gene c.50_55dup [Presence] in Blood by Molecular genetics method,2.73
10066-9,S' wave amplitude in lead V3,2.48
100669-1,NUDT15 gene c.50_55del [Presence] in Blood by Molecular genetics method,2.73
100670-9,RHD gene allele [Identifier] in Plasma cell-free DNA Nominal--fetus,2.73
100671-7,Aspergillus sp DNA [Presence] in Blood by NAA with probe detection,2.73
100672-5,Aspergillus fumigatus DNA [Presence] in Blood by NAA with probe detection,2.73
100673-3,Aspergillus terreus DNA [Presence] in Blood by NAA with probe detection,2.73
100674-1,BK virus DNA [Log #/volume] (viral load) in Blood by NAA with probe detection,2.73
100675-8,Cytomegalovirus DNA [Units/volume] (viral load) in Blood by NAA with probe detection,2.73
100676-6,Cytomegalovirus DNA [log units/volume] (viral load) in Blood by NAA with probe detection,2.73
10067-7,S' wave amplitude in lead V4,2.48
100677-4,Epstein Barr virus DNA [Log #/volume] (viral load) in Serum or Plasma by NAA with probe detection,2.73
100678-2,Epstein Barr virus DNA [Log #/volume] (viral load) in Blood by NAA with probe detection,2.73
100679-0,Herpes virus 6 DNA [Log #/volume] (viral load) in Serum or Plasma by NAA with probe detection,2.73
100680-8,Herpes virus 6 DNA [Log #/volume] (viral load) in Blood by NAA with probe detection,2.73
100681-6,Herpes virus 7 DNA [Log #/volume] (viral load) in Serum or Plasma by NAA with probe detection,2.73
100682-4,Herpes virus 7 DNA [Log #/volume] (viral load) in Blood by NAA with probe detection,2.73
100683-2,Herpes virus 8 DNA [Log #/volume] (viral load) in Serum or Plasma by NAA with probe detection,2.73
100684-0,Herpes virus 8 DNA [Log #/volume] (viral load) in Blood by NAA with probe detection,2.73
10068-5,S' wave amplitude in lead V5,2.48
100685-7,JC virus DNA [Log #/volume] (viral load) in Serum or Plasma by NAA with probe detection,2.73
100686-5,JC virus DNA [Log #/volume] (viral load) in Cerebral spinal fluid by NAA with probe detection,2.73
100687-3,JC virus DNA [Log #/volume] (viral load) in Urine by NAA with probe detection,2.73
100688-1,Parvovirus B19 DNA [Log #/volume] (viral load) in Blood by NAA with probe detection,2.73
100689-9,Toxoplasma gondii DNA [Log #/volume] in Serum or Plasma by NAA with probe detection,2.73
100690-7,Toxoplasma gondii DNA [Log #/volume] in Cerebral spinal fluid by NAA with probe detection,2.73
100691-5,Varicella zoster virus DNA [Log #/volume] (viral load) in Blood by NAA with probe detection,2.73
100692-3,Varicella zoster virus DNA [Log #/volume] (viral load) in Cerebral spinal fluid by NAA with probe detection,2.73
10069-3,S' wave amplitude in lead V6,2.48
100693-1,Pneumocystis jirovecii DNA [Log #/volume] in Respiratory system specimen by NAA with probe detection,2.79
100694-9,SMN1 gene silent carrier analysis [Presence] in Blood or Tissue by Molecular genetics method,2.73
100695-6,Genetic disease analysis overall carrier interpretation in Blood or Tissue by Molecular genetics method Narrative,2.73
100696-4,CTNS related multigene analysis [Identifier] in Bodyfluid and Serum or Plasma by Molecular genetics method Nominal,2.73
100697-2,Interventional radiology Outpatient Note,2.73
100698-0,Social Determinants of Health screening report Document,2.73
100699-8,Rifabutin+Ethambutol [Susceptibility],2.73
100700-4,Trichomonas vaginalis DNA [Presence] in Urethra by NAA with probe detection,2.73
10070-1,S' wave duration in lead AVF,2.48
100701-2,Trichomonas vaginalis rRNA [Presence] in Urethra by NAA with probe detection,2.73
100702-0,Mycoplasma genitalium rRNA [Presence] in Urethra by NAA with probe detection,2.73
100703-8,Mycoplasma genitalium rRNA [Presence] in Urine by NAA with probe detection,2.73
100704-6,Mycoplasma genitalium rRNA [Presence] in Cervix by NAA with probe detection,2.73
100705-3,Mycoplasma genitalium rRNA [Presence] in Anorectal by NAA with probe detection,2.73
100706-1,Mycoplasma genitalium rRNA [Presence] in Specimen by NAA with probe detection,2.73
100707-9,Granulocytes [#/volume] in Peritoneal dialysis fluid by Automated count,2.79
100708-7,Plasma cells/Leukocytes in Synovial fluid,2.79
100709-5,Hepatocellular carcinoma risk [Score] by GAAD,2.73
100710-3,Chlamydia trachomatis and Neisseria gonorrhoeae rRNA panel - Throat by NAA with probe detection,2.73
100711-1,Borrelia burgdorferi.VlsE1+pepC10 Ab [Units/volume] in Serum by Immunoassay,2.74
100712-9,Brexpiprazole [Mass/volume] in Serum or Plasma,2.73
100713-7,Cariprazine [Mass/volume] in Serum or Plasma,2.73
100714-5,Guanfacine [Mass/volume] in Serum or Plasma,2.73
100715-2,Prothipendyl [Mass/volume] in Serum or Plasma,2.73
100716-0,Prostate specific Ag [Mass/volume] in DBS,2.73
100717-8,FCGR3A gene.p.Phe176Val [Presence] in Blood or Tissue by Molecular genetics method,2.73
100718-6,Undersea and hyperbaric medicine Discharge summary,2.73
10071-9,S' wave duration in lead AVL,2.48
100719-4,Surgical oncology Discharge summary,2.73
100720-2,Reproductive endocrinology and infertility Discharge summary,2.73
100721-0,Community health care Discharge summary,2.73
100722-8,Integrative medicine Discharge summary,2.73
100723-6,Sports medicine Discharge summary,2.73
100724-4,Diabetology Discharge summary,2.73
100725-1,Optometry Discharge summary,2.73
100726-9,Podiatry Discharge summary,2.73
10072-7,S' wave duration in lead AVR,2.48
100727-7,Chiropractic medicine Discharge summary,2.73
100728-5,Cardiac surgery Discharge summary,2.73
100729-3,Breastfeeding Discharge summary,2.73
100730-1,Transplant surgery Discharge summary,2.73
100731-9,Urgent care center Discharge summary,2.73
100732-7,Cholesterol.in lipoprotein (little a) and Cholesterol.in LDL panel - Serum,2.73
100733-5,Cholesterol in LDL [Mass/volume] in Serum by calculation --corrected for Cholesterol.in lipoprotein (little a),2.73
100734-3,traMADol and Metabolites Panel - Urine by Confirmatory method,2.73
10073-5,S' wave duration in lead I,2.48
100735-0,Mannose-6-phosphate isomerase and phosphomannomutase 1 panel - Leukocytes,2.73
100736-8,Acylcarnitine Analysis Post Mortem in Specimen Document,2.73
100737-6,Alkaline phosphatase.macromolecular [Presence] in Serum or Plasma,2.73
100738-4,Alanine aminotransferase.macromolecular [Presence] in Serum or Plasma,2.73
100739-2,Aspartate aminotransferase.macromolecular [Presence] in Serum or Plasma,2.73
1007-4,Direct antiglobulin test.polyspecific reagent [Presence] on Red Blood Cells,2.73
100740-0,Amylase.macromolecular [Presence] in Serum or Plasma,2.73
100741-8,Gamma glutamyl transferase.macromolecular [Presence] in Serum or Plasma,2.73
100742-6,Lactate dehydrogenase.macromolecular [Presence] in Serum or Plasma,2.73
10074-3,S' wave duration in lead II,2.48
100743-4,Lipase.macromolecular [Presence] in Serum or Plasma,2.73
100744-2,Alpha-1-acid glycoprotein [Mass/volume] in Serum or Plasma by Electrophoresis,2.73
100745-9,Chloride [Moles/volume] in Mixed venous blood,2.73
100746-7,Glucose [Moles/volume] in Mixed venous blood,2.73
100747-5,Legionella serogroup panel - Specimen,2.73
100748-3,Legionella spp [Presence] in Specimen by NAA with probe detection,2.73
100749-1,Legionella pneumophila serogroup 1 [Presence] in Specimen by NAA with probe detection,2.73
10075-0,S' wave duration in lead III,2.48
100750-9,Legionella pneumophila non-serogroup 1 [Presence] in Specimen by NAA with probe detection,2.73
100751-7,"Galactose-alpha-1,3-galactose (Alpha-Gal) panel - Serum or Plasma",2.73
100752-5,Exacerbating factors - Reported,2.73
100753-3,Alleviating factors - Reported,2.73
100754-1,Platelet disorders multigene analysis in Blood or Tissue by Sequencing,2.73
100755-8,Oligoclonal bands [#] in Serum or Plasma by Isoelectric focusing,2.73
100756-6,Oligoclonal bands [Interpretation] in Cerebral spinal fluid by Isoelectric focusing,2.73
100757-4,Protein fractions.oligoclonal bands panel - Serum and CSF by Isoelectric focusing,2.73
100758-2,Estimated lung age by based on clinical data,2.73
100759-0,Inspiratory reserve [Volume] Respiratory system by Spirometry,2.73
100760-8,XR Radius and Ulna - left Single view,2.73
100761-6,PALB2 gene targeted mutation analysis in Blood or Tissue by Molecular genetics method,2.73
100762-4,HBA2 gene.c.377T>C [Presence] in Blood by Molecular genetics method,2.73
100763-2,Mycobacterium sp comparative reaction interpretation Narrative,2.73
100764-0,Mycobacterium bovis reaction wheal [Diameter] Qualitative --3 days post dose mammalian tuberculin intradermal,2.73
100765-7,Homocysteine and methylmalonate and methylcitrate panel - DBS,2.73
100766-5,Center for Epidemiologic Studies Depression Scale panel [CES-D],2.73
100767-3,Bothered by things that are not usually bothersome,2.73
10076-8,S' wave duration in lead V1,2.48
100768-1,Poor appetite,2.73
100769-9,Unhappy even with help from my family or friends,2.73
100770-7,Feeling just as good as others,2.73
100771-5,Trouble focusing,2.73
100772-3,Feeling depressed,2.73
100773-1,Feeling everything is too much of an effort,2.73
100774-9,Feeling hopeful about the future,2.73
100775-6,Feeling life had been a failure,2.73
10077-6,S' wave duration in lead V2,2.48
100776-4,Feeling fearful,2.73
100777-2,Restless sleep,2.73
100778-0,Feeling happy,2.73
100779-8,Quieter than usual,2.73
100780-6,Feeling lonely,2.73
100781-4,People were unfriendly,2.73
100782-2,Enjoying life,2.73
100783-0,Crying spells,2.73
10078-4,S' wave duration in lead V3,2.48
100784-8,Feeling sad,2.73
100785-5,Feeling people dislike me,2.73
100786-3,Lack of energy,2.73
100787-1,Total Score CES-D,2.73
100788-9,Stemphylium botryosum IgG4 Ab [Mass/volume] in Serum,2.73
100789-7,Rhizopus nigricans IgG4 Ab [Mass/volume] in Serum,2.73
100790-5,Lepidoglyphus destructor IgG Ab [Mass/volume] in Serum,2.73
100791-3,Hamster epithelium IgG Ab [Mass/volume] in Serum,2.73
10079-2,S' wave duration in lead V4,2.48
100792-1,Forsythia IgE Ab [Units/volume] in Serum,2.73
100793-9,Testosterone [Mass/volume] in Body fluid,2.73
100794-7,Follitropin [Units/volume] in Body fluid,2.74
100795-4,S100 calcium binding protein B [Mass/volume] in Body fluid,2.73
100796-2,Thyroglobulin [Mass/volume] in Body fluid,2.73
100797-0,Testosterone Free [Mass/volume] in Serum --1st specimen post XXX challenge,2.73
100798-8,Testosterone Free [Mass/volume] in Serum --2nd specimen post XXX challenge,2.73
100799-6,21-Deoxycortisol [Mass/volume] in Serum --1st specimen post XXX challenge,2.73
100-8,Cefoperazone [Susceptibility] by Minimum inhibitory concentration (MIC),2.73
10080-0,S' wave duration in lead V5,2.48
100800-2,21-Deoxycortisol [Mass/volume] in Serum --2nd specimen post XXX challenge,2.73
100801-0,21-Deoxycortisol [Mass/volume] in Serum --3rd specimen post XXX challenge,2.73
100802-8,21-Deoxycortisol [Mass/volume] in Serum --4th specimen post XXX challenge,2.73
100803-6,21-Deoxycortisol [Mass/volume] in Serum --5th specimen post XXX challenge,2.73
100804-4,Vasopressin [Moles/volume] in Plasma --1st specimen post XXX challenge,2.73
100805-1,Vasopressin [Moles/volume] in Plasma --2nd specimen post XXX challenge,2.73
100806-9,Vasopressin [Moles/volume] in Plasma --3rd specimen post XXX challenge,2.73
100807-7,Vasopressin [Moles/volume] in Plasma --4th specimen post XXX challenge,2.73
100808-5,Vasopressin [Moles/volume] in Plasma --5th specimen post XXX challenge,2.73
100809-3,Vasopressin [Moles/volume] in Plasma --6th specimen post XXX challenge,2.73
100810-1,Vasopressin [Moles/volume] in Plasma --7th specimen post XXX challenge,2.73
100811-9,Vasopressin [Moles/volume] in Plasma --8th specimen post XXX challenge,2.73
100812-7,Vasopressin [Moles/volume] in Plasma --9th specimen post XXX challenge,2.73
100813-5,Vasopressin [Moles/volume] in Plasma --10th specimen post XXX challenge,2.73
100814-3,Vasopressin [Moles/volume] in Plasma --11th specimen post XXX challenge,2.73
100815-0,Vasopressin [Moles/volume] in Plasma --12th specimen post XXX challenge,2.73
100816-8,Glucagon [Mass/volume] in Serum or Plasma --6th specimen post XXX challenge,2.73
100817-6,Glucagon [Mass/volume] in Serum or Plasma --7th specimen post XXX challenge,2.73
10081-8,S' wave duration in lead V6,2.48
100818-4,Renin [Mass/volume] in Plasma --1st specimen post XXX challenge,2.73
100819-2,Renin [Mass/volume] in Plasma --2nd specimen post XXX challenge,2.73
1008-2,Indirect antiglobulin test.polyspecific reagent [Presence] in Serum or Plasma,2.73
100820-0,Renin [Mass/volume] in Plasma --3rd specimen post XXX challenge,2.73
100821-8,National POLST form: portable medical order panel,2.74
100822-6,Cardiopulmonary resuscitation orders,2.73
100823-4,Initial portable medical treatment orders,2.73
100824-2,Additional portable medical orders or instructions,2.73
100825-9,Medically assisted nutrition orders,2.73
10082-6,ST initial amplitude 6 ms in lead AVF,2.48
100826-7,Portable medical order AndOr advance directive review,2.73
100827-5,Portable medical order discussion participants,2.73
100828-3,Portable medical order administrative information,2.73
100829-1,Renin [Mass/volume] in Plasma --4th specimen post XXX challenge,2.73
100830-9,Alpha subunit free [Units/volume] in Serum or Plasma --1st specimen post XXX challenge,2.73
100831-7,Alpha subunit free [Units/volume] in Serum or Plasma --2nd specimen post XXX challenge,2.73
100832-5,Alpha subunit free [Units/volume] in Serum or Plasma --3rd specimen post XXX challenge,2.73
100833-3,Alpha subunit free [Units/volume] in Serum or Plasma --4th specimen post XXX challenge,2.73
10083-4,ST initial amplitude 6 ms in lead AVL,2.48
100834-1,Alpha subunit free [Units/volume] in Serum or Plasma --5th specimen post XXX challenge,2.73
100835-8,Alpha subunit free [Units/volume] in Serum or Plasma --6th specimen post XXX challenge,2.73
100836-6,Alpha subunit free [Units/volume] in Serum or Plasma --7th specimen post XXX challenge,2.73
