0,1,2,3
380,A5044,1,Late congenital syphilitic optic nerve atrophy               Late congenital syphilitic optic nerve atrophy
381,A5045,1,Juvenile general paresis                                     Juvenile general paresis
382,A5049,1,Other late congenital neurosyphilis                          Other late congenital neurosyphilis
383,A505,0,"Other late congenital syphilis, symptomatic                  Other late congenital syphilis, symptomatic"
384,A5051,1,Clutton's joints                                             Clutton's joints
385,A5052,1,Hutchinson's teeth                                           Hutchinson's teeth
386,A5053,1,Hutchinson's triad                                           Hutchinson's triad
387,A5054,1,Late congenital cardiovascular syphilis                      Late congenital cardiovascular syphilis
388,A5055,1,Late congenital syphilitic arthropathy                       Late congenital syphilitic arthropathy
389,A5056,1,Late congenital syphilitic osteochondropathy                 Late congenital syphilitic osteochondropathy
390,A5057,1,Syphilitic saddle nose                                       Syphilitic saddle nose
391,A5059,1,"Other late congenital syphilis, symptomatic                  Other late congenital syphilis, symptomatic"
392,A506,1,"Late congenital syphilis, latent                             Late congenital syphilis, latent"
393,A507,1,"Late congenital syphilis, unspecified                        Late congenital syphilis, unspecified"
394,A509,1,"Congenital syphilis, unspecified                             Congenital syphilis, unspecified"
395,A51,0,Early syphilis                                               Early syphilis
396,A510,1,Primary genital syphilis                                     Primary genital syphilis
397,A511,1,Primary anal syphilis                                        Primary anal syphilis
398,A512,1,Primary syphilis of other sites                              Primary syphilis of other sites
399,A513,0,Secondary syphilis of skin and mucous membranes              Secondary syphilis of skin and mucous membranes
400,A5131,1,Condyloma latum                                              Condyloma latum
401,A5132,1,Syphilitic alopecia                                          Syphilitic alopecia
402,A5139,1,Other secondary syphilis of skin                             Other secondary syphilis of skin
403,A514,0,Other secondary syphilis                                     Other secondary syphilis
404,A5141,1,Secondary syphilitic meningitis                              Secondary syphilitic meningitis
405,A5142,1,Secondary syphilitic female pelvic disease                   Secondary syphilitic female pelvic disease
406,A5143,1,Secondary syphilitic oculopathy                              Secondary syphilitic oculopathy
407,A5144,1,Secondary syphilitic nephritis                               Secondary syphilitic nephritis
408,A5145,1,Secondary syphilitic hepatitis                               Secondary syphilitic hepatitis
409,A5146,1,Secondary syphilitic osteopathy                              Secondary syphilitic osteopathy
410,A5149,1,Other secondary syphilitic conditions                        Other secondary syphilitic conditions
411,A515,1,"Early syphilis, latent                                       Early syphilis, latent"
412,A519,1,"Early syphilis, unspecified                                  Early syphilis, unspecified"
413,A52,0,Late syphilis                                                Late syphilis
414,A520,0,Cardiovascular and cerebrovascular syphilis                  Cardiovascular and cerebrovascular syphilis
415,A5200,1,"Cardiovascular syphilis, unspecified                         Cardiovascular syphilis, unspecified"
416,A5201,1,Syphilitic aneurysm of aorta                                 Syphilitic aneurysm of aorta
417,A5202,1,Syphilitic aortitis                                          Syphilitic aortitis
418,A5203,1,Syphilitic endocarditis                                      Syphilitic endocarditis
419,A5204,1,Syphilitic cerebral arteritis                                Syphilitic cerebral arteritis
420,A5205,1,Other cerebrovascular syphilis                               Other cerebrovascular syphilis
421,A5206,1,Other syphilitic heart involvement                           Other syphilitic heart involvement
422,A5209,1,Other cardiovascular syphilis                                Other cardiovascular syphilis
423,A521,0,Symptomatic neurosyphilis                                    Symptomatic neurosyphilis
424,A5210,1,"Symptomatic neurosyphilis, unspecified                       Symptomatic neurosyphilis, unspecified"
425,A5211,1,Tabes dorsalis                                               Tabes dorsalis
426,A5212,1,Other cerebrospinal syphilis                                 Other cerebrospinal syphilis
427,A5213,1,Late syphilitic meningitis                                   Late syphilitic meningitis
428,A5214,1,Late syphilitic encephalitis                                 Late syphilitic encephalitis
429,A5215,1,Late syphilitic neuropathy                                   Late syphilitic neuropathy
430,A5216,1,Charcot's arthropathy (tabetic)                              Charcot's arthropathy (tabetic)
431,A5217,1,General paresis                                              General paresis
432,A5219,1,Other symptomatic neurosyphilis                              Other symptomatic neurosyphilis
433,A522,1,Asymptomatic neurosyphilis                                   Asymptomatic neurosyphilis
434,A523,1,"Neurosyphilis, unspecified                                   Neurosyphilis, unspecified"
435,A527,0,Other symptomatic late syphilis                              Other symptomatic late syphilis
436,A5271,1,Late syphilitic oculopathy                                   Late syphilitic oculopathy
437,A5272,1,Syphilis of lung and bronchus                                Syphilis of lung and bronchus
438,A5273,1,Symptomatic late syphilis of other respiratory organs        Symptomatic late syphilis of other respiratory organs
439,A5274,1,Syphilis of liver and other viscera                          Syphilis of liver and other viscera
440,A5275,1,Syphilis of kidney and ureter                                Syphilis of kidney and ureter
441,A5276,1,Other genitourinary symptomatic late syphilis                Other genitourinary symptomatic late syphilis
442,A5277,1,Syphilis of bone and joint                                   Syphilis of bone and joint
443,A5278,1,Syphilis of other musculoskeletal tissue                     Syphilis of other musculoskeletal tissue
444,A5279,1,Other symptomatic late syphilis                              Other symptomatic late syphilis
445,A528,1,"Late syphilis, latent                                        Late syphilis, latent"
446,A529,1,"Late syphilis, unspecified                                   Late syphilis, unspecified"
447,A53,0,Other and unspecified syphilis                               Other and unspecified syphilis
448,A530,1,"Latent syphilis, unspecified as early or late                Latent syphilis, unspecified as early or late"
449,A539,1,"Syphilis, unspecified                                        Syphilis, unspecified"
450,A54,0,Gonococcal infection                                         Gonococcal infection
451,A540,0,Gonocl infct of low GU tract w/o periureth or acc glnd abcs  Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess
452,A5400,1,"Gonococcal infection of lower genitourinary tract, unsp      Gonococcal infection of lower genitourinary tract, unspecified"
453,A5401,1,"Gonococcal cystitis and urethritis, unspecified              Gonococcal cystitis and urethritis, unspecified"
454,A5402,1,"Gonococcal vulvovaginitis, unspecified                       Gonococcal vulvovaginitis, unspecified"
455,A5403,1,"Gonococcal cervicitis, unspecified                           Gonococcal cervicitis, unspecified"
456,A5409,1,Other gonococcal infection of lower genitourinary tract      Other gonococcal infection of lower genitourinary tract
457,A541,1,Gonocl infct of lower GU tract w periureth and acc glnd abcs Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess
458,A542,0,Gonococcal pelviperitonitis and oth gonococcal GU infection  Gonococcal pelviperitonitis and other gonococcal genitourinary infection
459,A5421,1,Gonococcal infection of kidney and ureter                    Gonococcal infection of kidney and ureter
460,A5422,1,Gonococcal prostatitis                                       Gonococcal prostatitis
461,A5423,1,Gonococcal infection of other male genital organs            Gonococcal infection of other male genital organs
462,A5424,1,Gonococcal female pelvic inflammatory disease                Gonococcal female pelvic inflammatory disease
463,A5429,1,Other gonococcal genitourinary infections                    Other gonococcal genitourinary infections
464,A543,0,Gonococcal infection of eye                                  Gonococcal infection of eye
465,A5430,1,"Gonococcal infection of eye, unspecified                     Gonococcal infection of eye, unspecified"
466,A5431,1,Gonococcal conjunctivitis                                    Gonococcal conjunctivitis
467,A5432,1,Gonococcal iridocyclitis                                     Gonococcal iridocyclitis
468,A5433,1,Gonococcal keratitis                                         Gonococcal keratitis
469,A5439,1,Other gonococcal eye infection                               Other gonococcal eye infection
470,A544,0,Gonococcal infection of musculoskeletal system               Gonococcal infection of musculoskeletal system
471,A5440,1,"Gonococcal infection of musculoskeletal system, unspecified  Gonococcal infection of musculoskeletal system, unspecified"
472,A5441,1,Gonococcal spondylopathy                                     Gonococcal spondylopathy
473,A5442,1,Gonococcal arthritis                                         Gonococcal arthritis
474,A5443,1,Gonococcal osteomyelitis                                     Gonococcal osteomyelitis
475,A5449,1,Gonococcal infection of other musculoskeletal tissue         Gonococcal infection of other musculoskeletal tissue
476,A545,1,Gonococcal pharyngitis                                       Gonococcal pharyngitis
477,A546,1,Gonococcal infection of anus and rectum                      Gonococcal infection of anus and rectum
478,A548,0,Other gonococcal infections                                  Other gonococcal infections
479,A5481,1,Gonococcal meningitis                                        Gonococcal meningitis
480,A5482,1,Gonococcal brain abscess                                     Gonococcal brain abscess
481,A5483,1,Gonococcal heart infection                                   Gonococcal heart infection
482,A5484,1,Gonococcal pneumonia                                         Gonococcal pneumonia
483,A5485,1,Gonococcal peritonitis                                       Gonococcal peritonitis
484,A5486,1,Gonococcal sepsis                                            Gonococcal sepsis
485,A5489,1,Other gonococcal infections                                  Other gonococcal infections
486,A549,1,"Gonococcal infection, unspecified                            Gonococcal infection, unspecified"
487,A55,1,Chlamydial lymphogranuloma (venereum)                        Chlamydial lymphogranuloma (venereum)
488,A56,0,Other sexually transmitted chlamydial diseases               Other sexually transmitted chlamydial diseases
489,A560,0,Chlamydial infection of lower genitourinary tract            Chlamydial infection of lower genitourinary tract
490,A5600,1,"Chlamydial infection of lower genitourinary tract, unsp      Chlamydial infection of lower genitourinary tract, unspecified"
491,A5601,1,Chlamydial cystitis and urethritis                           Chlamydial cystitis and urethritis
492,A5602,1,Chlamydial vulvovaginitis                                    Chlamydial vulvovaginitis
493,A5609,1,Other chlamydial infection of lower genitourinary tract      Other chlamydial infection of lower genitourinary tract
494,A561,0,Chlamydial infection of pelviperitoneum and oth GU organs    Chlamydial infection of pelviperitoneum and other genitourinary organs
495,A5611,1,Chlamydial female pelvic inflammatory disease                Chlamydial female pelvic inflammatory disease
496,A5619,1,Other chlamydial genitourinary infection                     Other chlamydial genitourinary infection
497,A562,1,"Chlamydial infection of genitourinary tract, unspecified     Chlamydial infection of genitourinary tract, unspecified"
498,A563,1,Chlamydial infection of anus and rectum                      Chlamydial infection of anus and rectum
499,A564,1,Chlamydial infection of pharynx                              Chlamydial infection of pharynx
500,A568,1,Sexually transmitted chlamydial infection of other sites     Sexually transmitted chlamydial infection of other sites
501,A57,1,Chancroid                                                    Chancroid
502,A58,1,Granuloma inguinale                                          Granuloma inguinale
503,A59,0,Trichomoniasis                                               Trichomoniasis
504,A590,0,Urogenital trichomoniasis                                    Urogenital trichomoniasis
505,A5900,1,"Urogenital trichomoniasis, unspecified                       Urogenital trichomoniasis, unspecified"
506,A5901,1,Trichomonal vulvovaginitis                                   Trichomonal vulvovaginitis
507,A5902,1,Trichomonal prostatitis                                      Trichomonal prostatitis
508,A5903,1,Trichomonal cystitis and urethritis                          Trichomonal cystitis and urethritis
509,A5909,1,Other urogenital trichomoniasis                              Other urogenital trichomoniasis
510,A598,1,Trichomoniasis of other sites                                Trichomoniasis of other sites
511,A599,1,"Trichomoniasis, unspecified                                  Trichomoniasis, unspecified"
512,A60,0,Anogenital herpesviral [herpes simplex] infections           Anogenital herpesviral [herpes simplex] infections
513,A600,0,Herpesviral infection of genitalia and urogenital tract      Herpesviral infection of genitalia and urogenital tract
514,A6000,1,"Herpesviral infection of urogenital system, unspecified      Herpesviral infection of urogenital system, unspecified"
515,A6001,1,Herpesviral infection of penis                               Herpesviral infection of penis
516,A6002,1,Herpesviral infection of other male genital organs           Herpesviral infection of other male genital organs
517,A6003,1,Herpesviral cervicitis                                       Herpesviral cervicitis
518,A6004,1,Herpesviral vulvovaginitis                                   Herpesviral vulvovaginitis
519,A6009,1,Herpesviral infection of other urogenital tract              Herpesviral infection of other urogenital tract
520,A601,1,Herpesviral infection of perianal skin and rectum            Herpesviral infection of perianal skin and rectum
521,A609,1,"Anogenital herpesviral infection, unspecified                Anogenital herpesviral infection, unspecified"
522,A63,0,"Oth predominantly sexually transmitted diseases, NEC         Other predominantly sexually transmitted diseases, not elsewhere classified"
523,A630,1,Anogenital (venereal) warts                                  Anogenital (venereal) warts
524,A638,1,Other specified predominantly sexually transmitted diseases  Other specified predominantly sexually transmitted diseases
525,A64,1,Unspecified sexually transmitted disease                     Unspecified sexually transmitted disease
526,A65,1,Nonvenereal syphilis                                         Nonvenereal syphilis
527,A66,0,Yaws                                                         Yaws
528,A660,1,Initial lesions of yaws                                      Initial lesions of yaws
529,A661,1,Multiple papillomata and wet crab yaws                       Multiple papillomata and wet crab yaws
530,A662,1,Other early skin lesions of yaws                             Other early skin lesions of yaws
531,A663,1,Hyperkeratosis of yaws                                       Hyperkeratosis of yaws
532,A664,1,Gummata and ulcers of yaws                                   Gummata and ulcers of yaws
533,A665,1,Gangosa                                                      Gangosa
534,A666,1,Bone and joint lesions of yaws                               Bone and joint lesions of yaws
535,A667,1,Other manifestations of yaws                                 Other manifestations of yaws
536,A668,1,Latent yaws                                                  Latent yaws
537,A669,1,"Yaws, unspecified                                            Yaws, unspecified"
538,A67,0,Pinta [carate]                                               Pinta [carate]
539,A670,1,Primary lesions of pinta                                     Primary lesions of pinta
540,A671,1,Intermediate lesions of pinta                                Intermediate lesions of pinta
541,A672,1,Late lesions of pinta                                        Late lesions of pinta
542,A673,1,Mixed lesions of pinta                                       Mixed lesions of pinta
543,A679,1,"Pinta, unspecified                                           Pinta, unspecified"
544,A68,0,Relapsing fevers                                             Relapsing fevers
545,A680,1,Louse-borne relapsing fever                                  Louse-borne relapsing fever
546,A681,1,Tick-borne relapsing fever                                   Tick-borne relapsing fever
547,A689,1,"Relapsing fever, unspecified                                 Relapsing fever, unspecified"
548,A69,0,Other spirochetal infections                                 Other spirochetal infections
549,A690,1,Necrotizing ulcerative stomatitis                            Necrotizing ulcerative stomatitis
550,A691,1,Other Vincent's infections                                   Other Vincent's infections
551,A692,0,Lyme disease                                                 Lyme disease
552,A6920,1,"Lyme disease, unspecified                                    Lyme disease, unspecified"
553,A6921,1,Meningitis due to Lyme disease                               Meningitis due to Lyme disease
554,A6922,1,Other neurologic disorders in Lyme disease                   Other neurologic disorders in Lyme disease
555,A6923,1,Arthritis due to Lyme disease                                Arthritis due to Lyme disease
556,A6929,1,Other conditions associated with Lyme disease                Other conditions associated with Lyme disease
557,A698,1,Other specified spirochetal infections                       Other specified spirochetal infections
558,A699,1,"Spirochetal infection, unspecified                           Spirochetal infection, unspecified"
559,A70,1,Chlamydia psittaci infections                                Chlamydia psittaci infections
560,A71,0,Trachoma                                                     Trachoma
561,A710,1,Initial stage of trachoma                                    Initial stage of trachoma
562,A711,1,Active stage of trachoma                                     Active stage of trachoma
563,A719,1,"Trachoma, unspecified                                        Trachoma, unspecified"
564,A74,0,Other diseases caused by chlamydiae                          Other diseases caused by chlamydiae
565,A740,1,Chlamydial conjunctivitis                                    Chlamydial conjunctivitis
566,A748,0,Other chlamydial diseases                                    Other chlamydial diseases
567,A7481,1,Chlamydial peritonitis                                       Chlamydial peritonitis
568,A7489,1,Other chlamydial diseases                                    Other chlamydial diseases
569,A749,1,"Chlamydial infection, unspecified                            Chlamydial infection, unspecified"
570,A75,0,Typhus fever                                                 Typhus fever
571,A750,1,Epidemic louse-borne typhus fever d/t Rickettsia prowazekii  Epidemic louse-borne typhus fever due to Rickettsia prowazekii
572,A751,1,Recrudescent typhus [Brill's disease]                        Recrudescent typhus [Brill's disease]
573,A752,1,Typhus fever due to Rickettsia typhi                         Typhus fever due to Rickettsia typhi
574,A753,1,Typhus fever due to Rickettsia tsutsugamushi                 Typhus fever due to Rickettsia tsutsugamushi
575,A759,1,"Typhus fever, unspecified                                    Typhus fever, unspecified"
576,A77,0,Spotted fever [tick-borne rickettsioses]                     Spotted fever [tick-borne rickettsioses]
577,A770,1,Spotted fever due to Rickettsia rickettsii                   Spotted fever due to Rickettsia rickettsii
578,A771,1,Spotted fever due to Rickettsia conorii                      Spotted fever due to Rickettsia conorii
579,A772,1,Spotted fever due to Rickettsia siberica                     Spotted fever due to Rickettsia siberica
580,A773,1,Spotted fever due to Rickettsia australis                    Spotted fever due to Rickettsia australis
581,A774,0,Ehrlichiosis                                                 Ehrlichiosis
582,A7740,1,"Ehrlichiosis, unspecified                                    Ehrlichiosis, unspecified"
583,A7741,1,Ehrlichiosis chaffeensis [E. chaffeensis]                    Ehrlichiosis chaffeensis [E. chaffeensis]
584,A7749,1,Other ehrlichiosis                                           Other ehrlichiosis
585,A778,1,Other spotted fevers                                         Other spotted fevers
586,A779,1,"Spotted fever, unspecified                                   Spotted fever, unspecified"
587,A78,1,Q fever                                                      Q fever
588,A79,0,Other rickettsioses                                          Other rickettsioses
589,A790,1,Trench fever                                                 Trench fever
590,A791,1,Rickettsialpox due to Rickettsia akari                       Rickettsialpox due to Rickettsia akari
591,A798,0,Other specified rickettsioses                                Other specified rickettsioses
592,A7981,1,Rickettsiosis due to Ehrlichia sennetsu                      Rickettsiosis due to Ehrlichia sennetsu
593,A7982,1,Anaplasmosis [A. phagocytophilum]                            Anaplasmosis [A. phagocytophilum]
594,A7989,1,Other specified rickettsioses                                Other specified rickettsioses
595,A799,1,"Rickettsiosis, unspecified                                   Rickettsiosis, unspecified"
596,A80,0,Acute poliomyelitis                                          Acute poliomyelitis
597,A800,1,"Acute paralytic poliomyelitis, vaccine-associated            Acute paralytic poliomyelitis, vaccine-associated"
598,A801,1,"Acute paralytic poliomyelitis, wild virus, imported          Acute paralytic poliomyelitis, wild virus, imported"
599,A802,1,"Acute paralytic poliomyelitis, wild virus, indigenous        Acute paralytic poliomyelitis, wild virus, indigenous"
600,A803,0,"Acute paralytic poliomyelitis, other and unspecified         Acute paralytic poliomyelitis, other and unspecified"
601,A8030,1,"Acute paralytic poliomyelitis, unspecified                   Acute paralytic poliomyelitis, unspecified"
602,A8039,1,Other acute paralytic poliomyelitis                          Other acute paralytic poliomyelitis
603,A804,1,Acute nonparalytic poliomyelitis                             Acute nonparalytic poliomyelitis
604,A809,1,"Acute poliomyelitis, unspecified                             Acute poliomyelitis, unspecified"
605,A81,0,Atypical virus infections of central nervous system          Atypical virus infections of central nervous system
606,A810,0,Creutzfeldt-Jakob disease                                    Creutzfeldt-Jakob disease
607,A8100,1,"Creutzfeldt-Jakob disease, unspecified                       Creutzfeldt-Jakob disease, unspecified"
608,A8101,1,Variant Creutzfeldt-Jakob disease                            Variant Creutzfeldt-Jakob disease
609,A8109,1,Other Creutzfeldt-Jakob disease                              Other Creutzfeldt-Jakob disease
610,A811,1,Subacute sclerosing panencephalitis                          Subacute sclerosing panencephalitis
611,A812,1,Progressive multifocal leukoencephalopathy                   Progressive multifocal leukoencephalopathy
612,A818,0,Other atypical virus infections of central nervous system    Other atypical virus infections of central nervous system
613,A8181,1,Kuru                                                         Kuru
614,A8182,1,Gerstmann-Straussler-Scheinker syndrome                      Gerstmann-Straussler-Scheinker syndrome
615,A8183,1,Fatal familial insomnia                                      Fatal familial insomnia
616,A8189,1,Other atypical virus infections of central nervous system    Other atypical virus infections of central nervous system
617,A819,1,"Atypical virus infection of central nervous system, unsp     Atypical virus infection of central nervous system, unspecified"
618,A82,0,Rabies                                                       Rabies
619,A820,1,Sylvatic rabies                                              Sylvatic rabies
620,A821,1,Urban rabies                                                 Urban rabies
621,A829,1,"Rabies, unspecified                                          Rabies, unspecified"
622,A83,0,Mosquito-borne viral encephalitis                            Mosquito-borne viral encephalitis
623,A830,1,Japanese encephalitis                                        Japanese encephalitis
624,A831,1,Western equine encephalitis                                  Western equine encephalitis
625,A832,1,Eastern equine encephalitis                                  Eastern equine encephalitis
626,A833,1,St Louis encephalitis                                        St Louis encephalitis
627,A834,1,Australian encephalitis                                      Australian encephalitis
628,A835,1,California encephalitis                                      California encephalitis
629,A836,1,Rocio virus disease                                          Rocio virus disease
630,A838,1,Other mosquito-borne viral encephalitis                      Other mosquito-borne viral encephalitis
631,A839,1,"Mosquito-borne viral encephalitis, unspecified               Mosquito-borne viral encephalitis, unspecified"
632,A84,0,Tick-borne viral encephalitis                                Tick-borne viral encephalitis
633,A840,1,Far Eastern tick-borne encephalitis                          Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis]
634,A841,1,Central European tick-borne encephalitis                     Central European tick-borne encephalitis
635,A848,0,Other tick-borne viral encephalitis                          Other tick-borne viral encephalitis
636,A8481,1,Powassan virus disease                                       Powassan virus disease
637,A8489,1,Other tick-borne viral encephalitis                          Other tick-borne viral encephalitis
638,A849,1,"Tick-borne viral encephalitis, unspecified                   Tick-borne viral encephalitis, unspecified"
639,A85,0,"Other viral encephalitis, not elsewhere classified           Other viral encephalitis, not elsewhere classified"
640,A850,1,Enteroviral encephalitis                                     Enteroviral encephalitis
641,A851,1,Adenoviral encephalitis                                      Adenoviral encephalitis
642,A852,1,"Arthropod-borne viral encephalitis, unspecified              Arthropod-borne viral encephalitis, unspecified"
643,A858,1,Other specified viral encephalitis                           Other specified viral encephalitis
644,A86,1,Unspecified viral encephalitis                               Unspecified viral encephalitis
645,A87,0,Viral meningitis                                             Viral meningitis
646,A870,1,Enteroviral meningitis                                       Enteroviral meningitis
647,A871,1,Adenoviral meningitis                                        Adenoviral meningitis
648,A872,1,Lymphocytic choriomeningitis                                 Lymphocytic choriomeningitis
649,A878,1,Other viral meningitis                                       Other viral meningitis
650,A879,1,"Viral meningitis, unspecified                                Viral meningitis, unspecified"
651,A88,0,"Oth viral infections of central nervous system, NEC          Other viral infections of central nervous system, not elsewhere classified"
652,A880,1,Enteroviral exanthematous fever [Boston exanthem]            Enteroviral exanthematous fever [Boston exanthem]
653,A881,1,Epidemic vertigo                                             Epidemic vertigo
654,A888,1,Other specified viral infections of central nervous system   Other specified viral infections of central nervous system
655,A89,1,Unspecified viral infection of central nervous system        Unspecified viral infection of central nervous system
656,A90,1,Dengue fever [classical dengue]                              Dengue fever [classical dengue]
657,A91,1,Dengue hemorrhagic fever                                     Dengue hemorrhagic fever
658,A92,0,Other mosquito-borne viral fevers                            Other mosquito-borne viral fevers
659,A920,1,Chikungunya virus disease                                    Chikungunya virus disease
660,A921,1,O'nyong-nyong fever                                          O'nyong-nyong fever
661,A922,1,Venezuelan equine fever                                      Venezuelan equine fever
662,A923,0,West Nile virus infection                                    West Nile virus infection
663,A9230,1,"West Nile virus infection, unspecified                       West Nile virus infection, unspecified"
664,A9231,1,West Nile virus infection with encephalitis                  West Nile virus infection with encephalitis
665,A9232,1,West Nile virus infection with oth neurologic manifestation  West Nile virus infection with other neurologic manifestation
666,A9239,1,West Nile virus infection with other complications           West Nile virus infection with other complications
667,A924,1,Rift Valley fever                                            Rift Valley fever
668,A925,1,Zika virus disease                                           Zika virus disease
669,A928,1,Other specified mosquito-borne viral fevers                  Other specified mosquito-borne viral fevers
670,A929,1,"Mosquito-borne viral fever, unspecified                      Mosquito-borne viral fever, unspecified"
671,A93,0,"Other arthropod-borne viral fevers, not elsewhere classified Other arthropod-borne viral fevers, not elsewhere classified"
672,A930,1,Oropouche virus disease                                      Oropouche virus disease
673,A931,1,Sandfly fever                                                Sandfly fever
674,A932,1,Colorado tick fever                                          Colorado tick fever
675,A938,1,Other specified arthropod-borne viral fevers                 Other specified arthropod-borne viral fevers
676,A94,1,Unspecified arthropod-borne viral fever                      Unspecified arthropod-borne viral fever
677,A95,0,Yellow fever                                                 Yellow fever
678,A950,1,Sylvatic yellow fever                                        Sylvatic yellow fever
679,A951,1,Urban yellow fever                                           Urban yellow fever
680,A959,1,"Yellow fever, unspecified                                    Yellow fever, unspecified"
681,A96,0,Arenaviral hemorrhagic fever                                 Arenaviral hemorrhagic fever
682,A960,1,Junin hemorrhagic fever                                      Junin hemorrhagic fever
683,A961,1,Machupo hemorrhagic fever                                    Machupo hemorrhagic fever
684,A962,1,Lassa fever                                                  Lassa fever
685,A968,1,Other arenaviral hemorrhagic fevers                          Other arenaviral hemorrhagic fevers
686,A969,1,"Arenaviral hemorrhagic fever, unspecified                    Arenaviral hemorrhagic fever, unspecified"
687,A98,0,"Other viral hemorrhagic fevers, not elsewhere classified     Other viral hemorrhagic fevers, not elsewhere classified"
688,A980,1,Crimean-Congo hemorrhagic fever                              Crimean-Congo hemorrhagic fever
689,A981,1,Omsk hemorrhagic fever                                       Omsk hemorrhagic fever
690,A982,1,Kyasanur Forest disease                                      Kyasanur Forest disease
691,A983,1,Marburg virus disease                                        Marburg virus disease
692,A984,1,Ebola virus disease                                          Ebola virus disease
693,A985,1,Hemorrhagic fever with renal syndrome                        Hemorrhagic fever with renal syndrome
694,A988,1,Other specified viral hemorrhagic fevers                     Other specified viral hemorrhagic fevers
695,A99,1,Unspecified viral hemorrhagic fever                          Unspecified viral hemorrhagic fever
696,B00,0,Herpesviral [herpes simplex] infections                      Herpesviral [herpes simplex] infections
697,B000,1,Eczema herpeticum                                            Eczema herpeticum
698,B001,1,Herpesviral vesicular dermatitis                             Herpesviral vesicular dermatitis
699,B002,1,Herpesviral gingivostomatitis and pharyngotonsillitis        Herpesviral gingivostomatitis and pharyngotonsillitis
700,B003,1,Herpesviral meningitis                                       Herpesviral meningitis
701,B004,1,Herpesviral encephalitis                                     Herpesviral encephalitis
702,B005,0,Herpesviral ocular disease                                   Herpesviral ocular disease
703,B0050,1,"Herpesviral ocular disease, unspecified                      Herpesviral ocular disease, unspecified"
704,B0051,1,Herpesviral iridocyclitis                                    Herpesviral iridocyclitis
705,B0052,1,Herpesviral keratitis                                        Herpesviral keratitis
706,B0053,1,Herpesviral conjunctivitis                                   Herpesviral conjunctivitis
707,B0059,1,Other herpesviral disease of eye                             Other herpesviral disease of eye
708,B007,1,Disseminated herpesviral disease                             Disseminated herpesviral disease
709,B008,0,Other forms of herpesviral infections                        Other forms of herpesviral infections
710,B0081,1,Herpesviral hepatitis                                        Herpesviral hepatitis
711,B0082,1,Herpes simplex myelitis                                      Herpes simplex myelitis
712,B0089,1,Other herpesviral infection                                  Other herpesviral infection
713,B009,1,"Herpesviral infection, unspecified                           Herpesviral infection, unspecified"
714,B01,0,Varicella [chickenpox]                                       Varicella [chickenpox]
715,B010,1,Varicella meningitis                                         Varicella meningitis
716,B011,0,"Varicella encephalitis, myelitis and encephalomyelitis       Varicella encephalitis, myelitis and encephalomyelitis"
717,B0111,1,Varicella encephalitis and encephalomyelitis                 Varicella encephalitis and encephalomyelitis
718,B0112,1,Varicella myelitis                                           Varicella myelitis
719,B012,1,Varicella pneumonia                                          Varicella pneumonia
720,B018,0,Varicella with other complications                           Varicella with other complications
721,B0181,1,Varicella keratitis                                          Varicella keratitis
722,B0189,1,Other varicella complications                                Other varicella complications
723,B019,1,Varicella without complication                               Varicella without complication
724,B02,0,Zoster [herpes zoster]                                       Zoster [herpes zoster]
725,B020,1,Zoster encephalitis                                          Zoster encephalitis
726,B021,1,Zoster meningitis                                            Zoster meningitis
727,B022,0,Zoster with other nervous system involvement                 Zoster with other nervous system involvement
728,B0221,1,Postherpetic geniculate ganglionitis                         Postherpetic geniculate ganglionitis
729,B0222,1,Postherpetic trigeminal neuralgia                            Postherpetic trigeminal neuralgia
730,B0223,1,Postherpetic polyneuropathy                                  Postherpetic polyneuropathy
731,B0224,1,Postherpetic myelitis                                        Postherpetic myelitis
732,B0229,1,Other postherpetic nervous system involvement                Other postherpetic nervous system involvement
733,B023,0,Zoster ocular disease                                        Zoster ocular disease
734,B0230,1,"Zoster ocular disease, unspecified                           Zoster ocular disease, unspecified"
735,B0231,1,Zoster conjunctivitis                                        Zoster conjunctivitis
736,B0232,1,Zoster iridocyclitis                                         Zoster iridocyclitis
737,B0233,1,Zoster keratitis                                             Zoster keratitis
738,B0234,1,Zoster scleritis                                             Zoster scleritis
739,B0239,1,Other herpes zoster eye disease                              Other herpes zoster eye disease
740,B027,1,Disseminated zoster                                          Disseminated zoster
741,B028,1,Zoster with other complications                              Zoster with other complications
742,B029,1,Zoster without complications                                 Zoster without complications
743,B03,1,Smallpox                                                     Smallpox
744,B04,1,Monkeypox                                                    Monkeypox
745,B05,0,Measles                                                      Measles
746,B050,1,Measles complicated by encephalitis                          Measles complicated by encephalitis
747,B051,1,Measles complicated by meningitis                            Measles complicated by meningitis
748,B052,1,Measles complicated by pneumonia                             Measles complicated by pneumonia
749,B053,1,Measles complicated by otitis media                          Measles complicated by otitis media
750,B054,1,Measles with intestinal complications                        Measles with intestinal complications
751,B058,0,Measles with other complications                             Measles with other complications
752,B0581,1,Measles keratitis and keratoconjunctivitis                   Measles keratitis and keratoconjunctivitis
753,B0589,1,Other measles complications                                  Other measles complications
754,B059,1,Measles without complication                                 Measles without complication
755,B06,0,Rubella [German measles]                                     Rubella [German measles]
756,B060,0,Rubella with neurological complications                      Rubella with neurological complications
