0,1,2
A9156001003,"Oral mucoadhesive, any type (liquid, gel, paste, etc.), per 1 ml",Oral mucoadhesive per 1 ml  0
A9180001003,"Pediculosis (lice infestation) treatment, topical, for administration by","Lice treatment, topical     0"
A9268001003,"Programmer for transient, orally ingested capsule",Programmer orally ingest cap0
A9269001003,"Programable, transient, orally ingested capsule, for use with external",Programable ingest capsule  0
A9270001003,Non-covered item or service,Non-covered item or service 0
A9272001003,"Wound suction, disposable, includes dressing, all accessories and components,","Disp wound suct, drsg/access0"
A9273001003,"Cold or hot fluid bottle, ice cap or collar, heat and/or cold wrap, any type",Hot/cold botle/cap/col/wrap 0
A9274001003,"External ambulatory insulin delivery system, disposable, each, includes all",Ext amb insulin delivery sys0
A9275001003,"Home glucose disposable monitor, includes test strips",Disp home glucose monitor   0
A9276001003,"Sensor; invasive (e.g., subcutaneous), disposable, for use with non-durable","Disposable sensor, cgm sys  0"
A9277001003,"Transmitter; external, for use with non-durable medical equipment interstitial","External transmitter, cgm   0"
A9278001003,"Receiver (monitor); external, for use with non-durable medical equipment","External receiver, cgm sys  0"
A9279001003,"Monitoring feature/device, stand-alone or integrated, any type, includes all",Monitoring feature/devicenoc0
A9280001003,"Alert or alarm device, not otherwise classified","Alert device, noc           0"
A9281001003,"Reaching/grabbing device, any type, any length, each",Reaching/grabbing device    0
A9282001003,"Wig, any type, each",Wig any type                0
A9283001003,"Foot pressure off loading/supportive device, any type, each",Foot press off load supp dev0
A9284001003,"Spirometer, non-electronic, includes all accessories",Non-electronic spirometer   0
A9285001003,Inversion/eversion correction device,Inversion eversion cor devic0
A9286001003,"Hygienic item or device, disposable or non-disposable, any type, each","Any hygienic item, device   0"
A9291001003,"Prescription digital cognitive and/or behavioral therapy, fda cleared, per",Pres dig cog behav thera fda9
A9292001003,"Prescription digital visual therapy, software-only, fda cleared, per course of",Pres dig visual therapy fda 9
A9293001003,"Fertility cycle (contraception & conception) tracking software application, fda",Fertility cycl tracking soft0
A9300001003,Exercise equipment,Exercise equipment          0
A9500001003,"Technetium tc-99m sestamibi, diagnostic, per study dose",Tc99m sestamibi             5
A9501001003,"Technetium tc-99m teboroxime, diagnostic, per study dose",Technetium tc-99m teboroxime5
A9502001003,"Technetium tc-99m tetrofosmin, diagnostic, per study dose",Tc99m tetrofosmin           5
A9503001003,"Technetium tc-99m medronate, diagnostic, per study dose, up to 30 millicuries",Tc99m medronate             5
A9504001003,"Technetium tc-99m apcitide, diagnostic, per study dose, up to 20 millicuries",Tc99m apcitide              5
A9505001003,"Thallium tl-201 thallous chloride, diagnostic, per millicurie",Tl201 thallium              5
A9506001003,"Graphite crucible for preparation of technetium tc 99m-labeled carbon aerosol,",Tc-99m graphite crucible    9
A9507001003,"Indium in-111 capromab pendetide, diagnostic, per study dose, up to 10",In111 capromab              5
A9508001003,"Iodine i-131 iobenguane sulfate, diagnostic, per 0.5 millicurie","I131 iodobenguate, dx       5"
A9509001003,"Iodine i-123 sodium iodide, diagnostic, per millicurie",Iodine i-123 sod iodide mil 5
A9510001003,"Technetium tc-99m disofenin, diagnostic, per study dose, up to 15 millicuries",Tc99m disofenin             5
A9512001003,"Technetium tc-99m pertechnetate, diagnostic, per millicurie",Tc99m pertechnetate         5
A9513001003,"Lutetium lu 177, dotatate, therapeutic, 1 millicurie",Lutetium lu 177 dotatat ther5
A9515001003,"Choline c-11, diagnostic, per study dose up to 20 millicuries",Choline c-11                5
A9516001003,"Iodine i-123 sodium iodide, diagnostic, per 100 microcuries, up to 999",Iodine i-123 sod iodide mic 5
A9517001003,"Iodine i-131 sodium iodide capsule(s), therapeutic, per millicurie","I131 iodide cap, rx         5"
A9520001003,"Technetium tc-99m tilmanocept, diagnostic, up to 0.5 millicuries",Tc99 tilmanocept diag 0.5mci5
A9521001003,"Technetium tc-99m exametazime, diagnostic, per study dose, up to 25 millicuries",Tc99m exametazime           5
A9524001003,"Iodine i-131 iodinated serum albumin, diagnostic, per 5 microcuries","I131 serum albumin, dx      5"
A9526001003,"Nitrogen n-13 ammonia, diagnostic, per study dose, up to 40 millicuries",Nitrogen n-13 ammonia       5
A9527001003,"Iodine i-125, sodium iodide solution, therapeutic, per millicurie",Iodine i-125 sodium iodide  5
A9528001003,"Iodine i-131 sodium iodide capsule(s), diagnostic, per millicurie","Iodine i-131 iodide cap, dx 5"
A9529001003,"Iodine i-131 sodium iodide solution, diagnostic, per millicurie","I131 iodide sol, dx         5"
A9530001003,"Iodine i-131 sodium iodide solution, therapeutic, per millicurie","I131 iodide sol, rx         5"
A9531001003,"Iodine i-131 sodium iodide, diagnostic, per microcurie (up to 100 microcuries)",I131 max 100uci             5
A9532001003,"Iodine i-125 serum albumin, diagnostic, per 5 microcuries","I125 serum albumin, dx      5"
A9536001003,"Technetium tc-99m depreotide, diagnostic, per study dose, up to 35 millicuries",Tc99m depreotide            5
A9537001003,"Technetium tc-99m mebrofenin, diagnostic, per study dose, up to 15 millicuries",Tc99m mebrofenin            5
A9538001003,"Technetium tc-99m pyrophosphate, diagnostic, per study dose, up to 25",Tc99m pyrophosphate         5
A9539001003,"Technetium tc-99m pentetate, diagnostic, per study dose, up to 25 millicuries",Tc99m pentetate             5
A9540001003,"Technetium tc-99m macroaggregated albumin, diagnostic, per study dose, up to 10",Tc99m maa                   5
A9541001003,"Technetium tc-99m sulfur colloid, diagnostic, per study dose, up to 20",Tc99m sulfur colloid        5
A9542001003,"Indium in-111 ibritumomab tiuxetan, diagnostic, per study dose, up to 5","In111 ibritumomab, dx       5"
A9543001003,"Yttrium y-90 ibritumomab tiuxetan, therapeutic, per treatment dose, up to 40","Y90 ibritumomab, rx         5"
A9544001003,"Iodine i-131 tositumomab, diagnostic, per study dose","I131 tositumomab, dx        5"
A9545001003,"Iodine i-131 tositumomab, therapeutic, per treatment dose","I131 tositumomab, rx        5"
A9546001003,"Cobalt co-57/58, cyanocobalamin, diagnostic, per study dose, up to 1 microcurie",Co57/58                     5
A9547001003,"Indium in-111 oxyquinoline, diagnostic, per 0.5 millicurie",In111 oxyquinoline          5
A9548001003,"Indium in-111 pentetate, diagnostic, per 0.5 millicurie",In111 pentetate             5
A9550001003,"Technetium tc-99m sodium gluceptate, diagnostic, per study dose, up to 25",Tc99m gluceptate            5
A9551001003,"Technetium tc-99m succimer, diagnostic, per study dose, up to 10 millicuries",Tc99m succimer              5
A9552001003,"Fluorodeoxyglucose f-18 fdg, diagnostic, per study dose, up to 45 millicuries",F18 fdg                     5
A9553001003,"Chromium cr-51 sodium chromate, diagnostic, per study dose, up to 250",Cr51 chromate               5
A9554001003,"Iodine i-125 sodium iothalamate, diagnostic, per study dose, up to 10","I125 iothalamate, dx        5"
A9555001003,"Rubidium rb-82, diagnostic, per study dose, up to 60 millicuries",Rb82 rubidium               9
A9556001003,"Gallium ga-67 citrate, diagnostic, per millicurie",Ga67 gallium                5
A9557001003,"Technetium tc-99m bicisate, diagnostic, per study dose, up to 25 millicuries",Tc99m bicisate              5
A9558001003,"Xenon xe-133 gas, diagnostic, per 10 millicuries",Xe133 xenon 10mci           5
A9559001003,"Cobalt co-57 cyanocobalamin, oral, diagnostic, per study dose, up to 1",Co57 cyano                  5
A9560001003,"Technetium tc-99m labeled red blood cells, diagnostic, per study dose, up to 30",Tc99m labeled rbc           5
A9561001003,"Technetium tc-99m oxidronate, diagnostic, per study dose, up to 30 millicuries",Tc99m oxidronate            5
A9562001003,"Technetium tc-99m mertiatide, diagnostic, per study dose, up to 15 millicuries",Tc99m mertiatide            5
A9563001003,"Sodium phosphate p-32, therapeutic, per millicurie",P32 na phosphate            5
A9564001003,"Chromic phosphate p-32 suspension, therapeutic, per millicurie",P32 chromic phosphate       5
A9566001003,"Technetium tc-99m fanolesomab, diagnostic, per study dose, up to 25 millicuries",Tc99m fanolesomab           5
A9567001003,"Technetium tc-99m pentetate, diagnostic, aerosol, per study dose, up to 75",Technetium tc-99m aerosol   5
A9568001003,"Technetium tc-99m arcitumomab, diagnostic, per study dose, up to 45 millicuries",Technetium tc99m arcitumomab5
A9569001003,"Technetium tc-99m exametazime labeled autologous white blood cells, diagnostic,",Technetium tc-99m auto wbc  5
A9570001003,"Indium in-111 labeled autologous white blood cells, diagnostic, per study dose",Indium in-111 auto wbc      5
A9571001003,"Indium in-111 labeled autologous platelets, diagnostic, per study dose",Indium in-111 auto platelet 5
A9572001003,"Indium in-111 pentetreotide, diagnostic, per study dose, up to 6 millicuries",Indium in-111 pentetreotide 5
A9573001003,"Injection, gadopiclenol, 1 ml","Inj, gadopiclenol, 1 ml     5"
A9575001003,"Injection, gadoterate meglumine, 0.1 ml",Inj gadoterate meglumi 0.1ml5
A9576001003,"Injection, gadoteridol, (prohance multipack), per ml",Inj prohance multipack      5
A9577001003,"Injection, gadobenate dimeglumine (multihance), per ml",Inj multihance              5
A9578001003,"Injection, gadobenate dimeglumine (multihance multipack), per ml",Inj multihance multipack    5
A9579001003,"Injection, gadolinium-based magnetic resonance contrast agent, not otherwise","Gad-base mr contrast nos,1ml5"
A9580001003,"Sodium fluoride f-18, diagnostic, per study dose, up to 30 millicuries",Sodium fluoride f-18        5
A9581001003,"Injection, gadoxetate disodium, 1 ml",Gadoxetate disodium inj     5
A9582001003,"Iodine i-123 iobenguane, diagnostic, per study dose, up to 15 millicuries",Iodine i-123 iobenguane     5
A9583001003,"Injection, gadofosveset trisodium, 1 ml",Gadofosveset trisodium inj  5
A9584001003,"Iodine 1-123 ioflupane, diagnostic, per study dose, up to 5 millicuries",Iodine i-123 ioflupane      5
A9585001003,"Injection, gadobutrol, 0.1 ml",Gadobutrol injection        5
A9586001003,"Florbetapir f18, diagnostic, per study dose, up to 10 millicuries",Florbetapir f18             0
A9587001003,"Gallium ga-68, dotatate, diagnostic, 0.1 millicurie",Gallium ga-68               5
A9588001003,"Fluciclovine f-18, diagnostic, 1 millicurie",Fluciclovine f-18           5
A9589001003,"Instillation, hexaminolevulinate hydrochloride, 100 mg",Insti hexaminolevulinate hcl5
A9590001003,"Iodine i-131, iobenguane, 1 millicurie",Iodine i-131 iobenguane 1mci5
A9591001003,"Fluoroestradiol f 18, diagnostic, 1 millicurie",Fluoroestradiol f 18        5
A9592001003,"Copper cu-64, dotatate, diagnostic, 1 millicurie",Copper cu 64 dotatate diag  5
A9593001003,"Gallium ga-68 psma-11, diagnostic, (ucsf), 1 millicurie",Gallium ga-68 psma-11 ucsf  5
A9594001003,"Gallium ga-68 psma-11, diagnostic, (ucla), 1 millicurie","Gallium ga-68 psma-11, ucla 5"
A9595001003,"Piflufolastat f-18, diagnostic, 1 millicurie","Piflu f-18, dia 1 millicurie5"
A9596001003,"Gallium ga-68 gozetotide, diagnostic, (illuccix), 1 millicurie",Gallium illuccix 1 millicure5
A9597001003,"Positron emission tomography radiopharmaceutical, diagnostic, for tumor","Pet, dx, for tumor id, noc  5"
A9598001003,"Positron emission tomography radiopharmaceutical, diagnostic, for non-tumor","Pet dx for non-tumor id, noc5"
A9599001003,"Radiopharmaceutical, diagnostic, for beta-amyloid positron emission tomography",Radioph dx b amyloid pet nos5
A9600001003,"Strontium sr-89 chloride, therapeutic, per millicurie",Sr89 strontium              5
A9601001003,"Flortaucipir f 18 injection, diagnostic, 1 millicurie",Flortaucipir inj 1 millicuri5
A9602001003,"Fluorodopa f-18, diagnostic, per millicurie",Fluorodopa f-18 diag per mci5
A9603001003,"Injection, pafolacianine, 0.1 mg","Inj, pafolacianine, 0.1 mg  5"
A9604001003,"Samarium sm-153 lexidronam, therapeutic, per treatment dose, up to 150",Sm 153 lexidronam           5
A9606001003,"Radium ra-223 dichloride, therapeutic, per microcurie",Radium ra223 dichloride ther5
A9607001003,"Lutetium lu 177 vipivotide tetraxetan, therapeutic, 1 millicurie",Lutetium lu 177 vipivotide  5
A9608001003,"Flotufolastat f 18, diagnostic, 1 millicurie",Flotufolastat f18 diag 1 mci5
A9609001003,Fludeoxyglucose f18 up to 15 millicuries,"F18 fdg, 15 millicuries     5"
A9610001003,"Xenon xe-129 hyperpolarized gas, diagnostic, per study dose","Xe129 xenon, diagnostic     5"
A9611001003,"Flurpiridaz f 18, diagnostic, 1 millicurie","Flurpiridaz f18, diag, 1 mci5"
A9612001003,"Injection, fluorescein, 1 mg","Inj, fluorescein, 1 mg      5"
A9615001003,"Injection, pegulicianine, 1 mg","Inj, pegulicianine, 1 mg    5"
A9616001003,"Gallium ga-68 gozetotide (gozellix), diagnostic, 1 millicurie",Gallium gozellix 1 millicuri5
A9697001003,"Injection, carboxydextran-coated superparamagnetic iron oxide, per study dose","Inj, magtrace per study dose5"
A9698001003,"Non-radioactive contrast imaging material, not otherwise classified, per study",Non-rad contrast materialnoc5
A9699001003,"Radiopharmaceutical, therapeutic, not otherwise classified",Radiopharm rx agent noc     5
A9700001003,"Supply of injectable contrast material for use in echocardiography, per study",Echocardiography contrast   5
A9800001003,"Gallium ga-68 gozetotide, diagnostic, (locametz), 1 millicurie",Gallium locametz 1 millicuri5
A9900001003,"Miscellaneous dme supply, accessory, and/or service component of another hcpcs",Supply/accessory/service    4
A9901001003,"Dme delivery, set up, and/or dispensing service component of another hcpcs code",Delivery/set up/dispensing  4
A9999001003,"Miscellaneous dme supply or accessory, not otherwise specified","Dme supply or accessory, nos4"
B4034001003,"Enteral feeding supply kit; syringe fed, per day, includes but not limited to",Enter feed supkit syr by day3
B4035001003,"Enteral feeding supply kit; pump fed, per day, includes but not limited to",Enteral feed supp pump per d3
B4036001003,"Enteral feeding supply kit; gravity fed, per day, includes but not limited to",Enteral feed sup kit grav by3
B4081001003,Nasogastric tubing with stylet,Enteral ng tubing w/ stylet 3
B4082001003,Nasogastric tubing without stylet,Enteral ng tubing w/o stylet3
B4083001003,Stomach tube - levine type,Enteral stomach tube levine 3
B4087001003,"Gastrostomy/jejunostomy tube, standard, any material, any type, each","Gastro/jejuno tube, std     3"
B4088001003,"Gastrostomy/jejunostomy tube, low-profile, any material, any type, each","Gastro/jejuno tube, low-pro 3"
B4100001003,"Food thickener, administered orally, per ounce",Food thickener oral         0
B4102001003,"Enteral formula, for adults, used to replace fluids and electrolytes (e.g.,",Ef adult fluids and electro 3
B4103001003,"Enteral formula, for pediatrics, used to replace fluids and electrolytes (e.g.,",Ef ped fluid and electrolyte4
B4104001003,"Additive for enteral formula (e.g., fiber)",Additive for enteral formula0
B4105001003,"In-line cartridge containing digestive enzyme(s) for enteral feeding, each",Enzyme cartridge enteral nut3
B4148001003,"Enteral feeding supply kit; elastomeric control fed, per day, includes but not",Enteral feed elastomer daily3
B4149001003,"Enteral formula, manufactured blenderized natural foods with intact nutrients,",Ef blenderized foods        3
B4150001003,"Enteral formula, nutritionally complete with intact nutrients, includes",Ef complet w/intact nutrient3
B4152001003,"Enteral formula, nutritionally complete, calorically dense (equal to or greater",Ef calorie dense>/=1.5kcal  3
B4153001003,"Enteral formula, nutritionally complete, hydrolyzed proteins (amino acids and",Ef hydrolyzed/amino acids   3
B4154001003,"Enteral formula, nutritionally complete, for special metabolic needs, excludes",Ef spec metabolic noninherit3
B4155001003,"Enteral formula, nutritionally incomplete/modular nutrients, includes specific",Ef incomplete/modular       3
B4157001003,"Enteral formula, nutritionally complete, for special metabolic needs for",Ef special metabolic inherit3
B4158001003,"Enteral formula, for pediatrics, nutritionally complete with intact nutrients,",Ef ped complete intact nut  4
B4159001003,"Enteral formula, for pediatrics, nutritionally complete soy based with intact",Ef ped complete soy based   4
B4160001003,"Enteral formula, for pediatrics, nutritionally complete calorically dense",Ef ped caloric dense>/=0.7kc4
B4161001003,"Enteral formula, for pediatrics, hydrolyzed/amino acids and peptide chain",Ef ped hydrolyzed/amino acid4
B4162001003,"Enteral formula, for pediatrics, special metabolic needs for inherited disease",Ef ped specmetabolic inherit4
B4164001003,"Parenteral nutrition solution: carbohydrates (dextrose), 50% or less (500 ml =",Parenteral 50% dextrose solu3
B4168001003,"Parenteral nutrition solution; amino acid, 3.5%, (500 ml = 1 unit) - home mix",Parenteral sol amino acid 3.3
B4172001003,"Parenteral nutrition solution; amino acid, 5.5% through 7%, (500 ml = 1 unit) -",Parenteral sol amino acid 5.3
B4176001003,"Parenteral nutrition solution; amino acid, 7% through 8.5%, (500 ml = 1 unit) -",Parenteral sol amino acid 7-3
B4178001003,"Parenteral nutrition solution: amino acid, greater than 8.5% (500 ml = 1 unit)",Parenteral sol amino acid > 3
B4180001003,"Parenteral nutrition solution; carbohydrates (dextrose), greater than 50% (500",Parenteral sol carb > 50%   3
B4185001003,"Parenteral nutrition solution, not otherwise specified, 10 grams lipids",Pn soln nos 10 grams lipids 3
B4187001003,"Omegaven, 10 grams lipids","Omegaven, 10 grams lipids   3"
B4189001003,Parenteral nutrition solution; compounded amino acid and carbohydrates with,Parenteral sol amino acid & 3
B4193001003,Parenteral nutrition solution; compounded amino acid and carbohydrates with,Parenteral sol 52-73 gm prot3
B4197001003,Parenteral nutrition solution; compounded amino acid and carbohydrates with,Parenteral sol 74-100 gm pro3
B4199001003,Parenteral nutrition solution; compounded amino acid and carbohydrates with,Parenteral sol > 100gm prote3
B4216001003,"Parenteral nutrition; additives (vitamins, trace elements, heparin,",Parenteral nutrition additiv3
B4220001003,"Parenteral nutrition supply kit; premix, per day",Parenteral supply kit premix3
B4222001003,"Parenteral nutrition supply kit; home mix, per day",Parenteral supply kit homemi3
B4224001003,"Parenteral nutrition administration kit, per day",Parenteral administration ki3
B5000001003,Parenteral nutrition solution compounded amino acid and carbohydrates with,Parenteral sol renal-amirosy3
B5100001003,Parenteral nutrition solution compounded amino acid and carbohydrates with,Parenteral solution hepatic 3
B5200001003,Parenteral nutrition solution compounded amino acid and carbohydrates with,Parenteral sol hepatic fream3
B9000001003,Enteral nutrition infusion pump - without alarm,Enter infusion pump w/o alrm3
B9002001003,"Enteral nutrition infusion pump, any type",Enter nutr inf pump any type3
B9004001003,"Parenteral nutrition infusion pump, portable",Parenteral infus pump portab3
B9006001003,"Parenteral nutrition infusion pump, stationary",Parenteral infus pump statio3
B9998001003,Noc for enteral supplies,Enteral supp not otherwise c5
B9999001003,Noc for parenteral supplies,Parenteral supp not othrws c5
C1052001003,"Hemostatic agent, gastrointestinal, topical","Hemostatic agent, gi, topic 5"
C1062001003,"Intravertebral body fracture augmentation with implant (e.g., metal, polymer)",Intravertebral fx aug impl  5
C1300001003,"Hyperbaric oxygen under pressure, full body chamber, per 30 minute interval",Hyperbaric oxygen           5
C1600001003,"Catheter, transluminal intravascular lesion preparation device, bladed,","Cath, bladed, vasc prep     5"
C1601001003,"Endoscope, single-use (i.e. disposable), pulmonary, imaging/illumination device","Endo, single, pulmonary     5"
C1602001003,"Orthopedic/device/drug matrix/absorbable bone void filler,",Orth/matrx/bn fill drug-elut5
C1603001003,"Retrieval device, insertable, laser (used to retrieve intravascular inferior","Ret dev, laser, ivc filter  5"
C1604001003,"Graft, transmural transvenous arterial bypass (implantable), with all delivery","Grft, trnsmurl/trnsvens byps5"
C1605001003,"Pacemaker, leadless, dual chamber (right atrial and right ventricular","Pmkr, dual, leadless        5"
C1606001003,"Adapter, single-use (i.e. disposable), for attaching ultrasound system to upper","Adapter, us to endoscope    5"
C1713001003,Anchor/screw for opposing bone-to-bone or soft tissue-to-bone (implantable),"Anchor/screw bn/bn,tis/bn   5"
C1714001003,"Catheter, transluminal atherectomy, directional","Cath, trans atherectomy, dir5"
C1715001003,Brachytherapy needle,Brachytherapy needle        5
C1716001003,"Brachytherapy source, non-stranded, gold-198, per source","Brachytx, non-str, gold-198 5"
C1717001003,"Brachytherapy source, non-stranded, high dose rate iridium-192, per source","Brachytx, non-str,hdr ir-1925"
C1719001003,"Brachytherapy source, non-stranded, non-high dose rate iridium-192, per source","Brachytx, ns, non-hdrir-192 5"
C1721001003,"Cardioverter-defibrillator, dual chamber (implantable)","Aicd, dual chamber          5"
C1722001003,"Cardioverter-defibrillator, single chamber (implantable)","Aicd, single chamber        5"
C1724001003,"Catheter, transluminal atherectomy, rotational","Cath, trans atherec,rotation5"
C1725001003,"Catheter, transluminal angioplasty, non-laser (may include guidance,","Cath, translumin non-laser  5"
C1726001003,"Catheter, balloon dilatation, non-vascular","Cath, bal dil, non-vascular 5"
C1727001003,"Catheter, balloon tissue dissector, non-vascular (insertable)","Cath, bal tis dis, non-vas  5"
C1728001003,"Catheter, brachytherapy seed administration","Cath, brachytx seed adm     5"
C1729001003,"Catheter, drainage","Cath, drainage              5"
C1730001003,"Catheter, electrophysiology, diagnostic, other than 3d mapping (19 or fewer","Cath, ep, 19 or few elect   5"
C1731001003,"Catheter, electrophysiology, diagnostic, other than 3d mapping (20 or more","Cath, ep, 20 or more elec   5"
C1732001003,"Catheter, electrophysiology, diagnostic/ablation, 3d or vector mapping","Cath, ep, diag/abl, 3d/vect 5"
C1733001003,"Catheter, electrophysiology, diagnostic/ablation, other than 3d or vector","Cath, ep, othr than cool-tip5"
C1734001003,Orthopedic/device/drug matrix for opposing bone-to-bone or soft tissue-to bone,"Orth/devic/drug bn/bn,tis/bn5"
C1735001003,"Catheter(s), intravascular for renal denervation, radiofrequency, including all",Cath renal denerv radiofreq 5
C1736001003,"Catheter(s), intravascular for renal denervation, ultrasound, including all",Cath renal denerv ultrasnd  5
C1737001003,"Joint fusion and fixation device(s), sacroiliac and pelvis, including all",Si&pelvis fusn&fixn dev     5
C1738001003,"Powered, single-use (i.e. disposable) endoscopic ultrasound-guided biopsy devic",ePower endo us-guid bx dev   5
C1739001003,"Tissue marker, uniquely detectable and identifiable with probe/sensor, any",Marker uniq detect w/prbe   5
C1740001003,"Leadless electrode, transmitter, battery (all implantable), for sequential left","Lt vent pacing syst, sequen 5"
C1741001003,"Anchor/screw for bone fixation, absorbable (implantable)",Anchor/screw bone absorb    5
C1742001003,"Pressure monitoring system, compartmental intramuscular (implantable),","Pressure sens syst, cont im 5"
C1747001003,"Endoscope, single-use (i.e. disposable), urinary tract, imaging/illumination","Endo, single, urinary tract 5"
C1748001003,"Endoscope, single-use (i.e. disposable), upper gi, imaging/illumination device","Endoscope, single, ugi      5"
C1749001003,"Endoscope, retrograde imaging/illumination colonoscope device (implantable)","Endo, colon, retro imaging  5"
C1750001003,"Catheter, hemodialysis/peritoneal, long-term","Cath, hemodialysis,long-term5"
C1751001003,"Catheter, infusion, inserted peripherally, centrally or midline (other than","Cath, inf, per/cent/midline 5"
C1752001003,"Catheter, hemodialysis/peritoneal, short-term","Cath,hemodialysis,short-term5"
C1753001003,"Catheter, intravascular ultrasound","Cath, intravas ultrasound   5"
C1754001003,"Catheter, intradiscal","Catheter, intradiscal       5"
C1755001003,"Catheter, intraspinal","Catheter, intraspinal       5"
C1756001003,"Catheter, pacing, transesophageal","Cath, pacing, transesoph    5"
C1757001003,"Catheter, thrombectomy/embolectomy","Cath, thrombectomy/embolect 5"
C1758001003,"Catheter, ureteral","Catheter, ureteral          5"
C1759001003,"Catheter, intracardiac echocardiography","Cath, intra echocardiography5"
C1760001003,"Closure device, vascular (implantable/insertable)","Closure dev, vasc           5"
C1761001003,"Catheter, transluminal intravascular lithotripsy, coronary","Cath, trans intra litho/coro5"
C1762001003,"Connective tissue, human (includes fascia lata)","Conn tiss, human(inc fascia)5"
C1763001003,"Connective tissue, non-human (includes synthetic)","Conn tiss, non-human        5"
C1764001003,"Event recorder, cardiac (implantable)","Event recorder, cardiac     5"
C1765001003,Adhesion barrier,Adhesion barrier            5
C1766001003,"Introducer/sheath, guiding, intracardiac electrophysiological, steerable, other","Intro/sheath,strble,non-peel5"
C1767001003,"Generator, neurostimulator (implantable), non-rechargeable","Generator, neuro non-recharg5"
C1768001003,"Graft, vascular","Graft, vascular             5"
C1769001003,Guide wire,Guide wire                  5
C1770001003,"Imaging coil, magnetic resonance (insertable)","Imaging coil, mr, insertable5"
C1771001003,"Repair device, urinary, incontinence, with sling graft","Rep dev, urinary, w/sling   5"
C1772001003,"Infusion pump, programmable (implantable)","Infusion pump, programmable 5"
C1773001003,"Retrieval device, insertable (used to retrieve fractured medical devices)","Ret dev, insertable         5"
C1776001003,Joint device (implantable),Joint device (implantable)  5
C1777001003,"Lead, cardioverter-defibrillator, endocardial single coil (implantable)","Lead, aicd, endo single coil5"
C1778001003,"Lead, neurostimulator (implantable)","Lead, neurostimulator       5"
C1779001003,"Lead, pacemaker, transvenous vdd single pass","Lead, pmkr, transvenous vdd 5"
C1780001003,"Lens, intraocular (new technology)","Lens, intraocular (new tech)5"
C1781001003,Mesh (implantable),Mesh (implantable)          5
C1782001003,Morcellator,Morcellator                 5
C1783001003,"Ocular implant, aqueous drainage assist device","Ocular imp, aqueous drain de5"
C1784001003,"Ocular device, intraoperative, detached retina","Ocular dev, intraop, det ret5"
C1785001003,"Pacemaker, dual chamber, rate-responsive (implantable)","Pmkr, dual, rate-resp       5"
C1786001003,"Pacemaker, single chamber, rate-responsive (implantable)","Pmkr, single, rate-resp     5"
C1787001003,"Patient programmer, neurostimulator","Patient progr, neurostim    5"
C1788001003,"Port, indwelling (implantable)","Port, indwelling, imp       5"
C1789001003,"Prosthesis, breast (implantable)","Prosthesis, breast, imp     5"
C1813001003,"Prosthesis, penile, inflatable","Prosthesis, penile, inflatab5"
C1814001003,"Retinal tamponade device, silicone oil","Retinal tamp, silicone oil  5"
C1815001003,"Prosthesis, urinary sphincter (implantable)","Pros, urinary sph, imp      5"
C1816001003,"Receiver and/or transmitter, neurostimulator (implantable)","Receiver/transmitter, neuro 5"
C1817001003,"Septal defect implant system, intracardiac",Septal defect imp sys       5
C1818001003,Integrated keratoprosthesis,Integrated keratoprosthesis 5
C1819001003,Surgical tissue localization and excision device (implantable),Tissue localization-excision5
C1820001003,"Generator, neurostimulator (implantable), with rechargeable battery and",Generator neuro rechg bat sy5
C1821001003,Interspinous process distraction device (implantable),Interspinous implant        5
C1822001003,"Generator, neurostimulator (implantable), high frequency, with rechargeable","Gen, neuro, hf, rechg bat   5"
C1823001003,"Generator, neurostimulator (implantable), non-rechargeable, with transvenous","Gen, neuro, trans sen/stim  5"
C1824001003,"Generator, cardiac contractility modulation (implantable)","Generator, ccm, implant     5"
C1825001003,"Generator, neurostimulator (implantable), non-rechargeable with carotid sinus","Gen, neuro, carot sinus baro5"
C1826001003,"Generator, neurostimulator (implantable), includes closed feedback loop leads","Gen, neuro, clo loop, rechg 5"
C1827001003,"Generator, neurostimulator (implantable), non-rechargeable, with implantable","Gen, neuro, imp led, ex cntr5"
C1830001003,Powered bone marrow biopsy needle,Power bone marrow bx needle 5
C1831001003,"Interbody cage, anterior, lateral or posterior, personalized (implantable)",Personalized interbody cage 5
C1832001003,"Autograft suspension, including cell processing and application, and all system",Auto cell process sys       5
C1833001003,"Monitor, cardiac, including intracardiac lead and all system components",Cardiac monitor sys         5
C1834001003,"Pressure sensor system, includes all components (e.g., introducer, sensor),","Pressure sensor system, im  5"
C1839001003,Iris prosthesis,Iris prosthesis             5
C1840001003,"Lens, intraocular (telescopic)",Telescopic intraocular lens 5
C1841001003,"Retinal prosthesis, includes all internal and external components",Retinal prosth int/ext comp 5
C1842001003,"Retinal prosthesis, includes all internal and external components; add-on to","Retinal prosth, add-on      5"
C1849001003,"Skin substitute, synthetic, resorbable, per square centimeter","Skin substitute, synthetic  5"
C1874001003,"Stent, coated/covered, with delivery system","Stent, coated/cov w/del sys 5"
C1875001003,"Stent, coated/covered, without delivery system","Stent, coated/cov w/o del sy5"
C1876001003,"Stent, non-coated/non-covered, with delivery system","Stent, non-coa/non-cov w/del5"
C1877001003,"Stent, non-coated/non-covered, without delivery system","Stent, non-coat/cov w/o del 5"
C1878001003,"Material for vocal cord medialization, synthetic (implantable)",Matrl for vocal cord        5
C1880001003,Vena cava filter,Vena cava filter            5
C1881001003,Dialysis access system (implantable),Dialysis access system      5
