icd10_code,parent_title,definition
F502,Eating disorders,
F503,Eating disorders,
F504,Eating disorders,
F505,Eating disorders,
F508,Eating disorders,
F509,Eating disorders,
F51,Nonorganic sleep disorders,
F510,Nonorganic sleep disorders,
F511,Nonorganic sleep disorders,
F512,Nonorganic sleep disorders,
F513,Nonorganic sleep disorders,
F514,Nonorganic sleep disorders,
F515,Nonorganic sleep disorders,
F518,Nonorganic sleep disorders,
F519,Nonorganic sleep disorders,
F52,"Sexual dysfunction, not caused by organic disorder or disease",
F520,"Sexual dysfunction, not caused by organic disorder or disease",
F521,"Sexual dysfunction, not caused by organic disorder or disease",
F522,"Sexual dysfunction, not caused by organic disorder or disease",
F523,"Sexual dysfunction, not caused by organic disorder or disease",
F524,"Sexual dysfunction, not caused by organic disorder or disease",
F525,"Sexual dysfunction, not caused by organic disorder or disease",
F526,"Sexual dysfunction, not caused by organic disorder or disease",
F527,"Sexual dysfunction, not caused by organic disorder or disease",
F528,"Sexual dysfunction, not caused by organic disorder or disease",
F529,"Sexual dysfunction, not caused by organic disorder or disease",
F53,"Mental and behavioural disorders associated with the puerperium, not elsewhere classified",
F530,"Mental and behavioural disorders associated with the puerperium, not elsewhere classified",
F531,"Mental and behavioural disorders associated with the puerperium, not elsewhere classified",
F538,"Mental and behavioural disorders associated with the puerperium, not elsewhere classified",
F539,"Mental and behavioural disorders associated with the puerperium, not elsewhere classified",
F54,Psychological and behavioural factors associated with disorders or diseases classified elsewhere,
F55,Abuse of non-dependence-producing substances,
F59,Unspecified behavioural syndromes associated with physiological disturbances and physical factors,
F60,Specific personality disorders,
F600,Specific personality disorders,
F601,Specific personality disorders,
F602,Specific personality disorders,
F603,Specific personality disorders,
F604,Specific personality disorders,
F605,Specific personality disorders,
F606,Specific personality disorders,
F607,Specific personality disorders,
F608,Specific personality disorders,
F609,Specific personality disorders,
F61,Mixed and other personality disorders,
F62,"Enduring personality changes, not attributable to brain damage and disease",
F620,"Enduring personality changes, not attributable to brain damage and disease",
F621,"Enduring personality changes, not attributable to brain damage and disease",
F628,"Enduring personality changes, not attributable to brain damage and disease",
F629,"Enduring personality changes, not attributable to brain damage and disease",
F63,Habit and impulse disorders,
F630,Habit and impulse disorders,
F631,Habit and impulse disorders,
F632,Habit and impulse disorders,
F633,Habit and impulse disorders,
F638,Habit and impulse disorders,
F639,Habit and impulse disorders,
F64,Gender identity disorders,
F640,Gender identity disorders,
F641,Gender identity disorders,
F642,Gender identity disorders,
F648,Gender identity disorders,
F649,Gender identity disorders,
F65,Disorders of sexual preference,
F650,Disorders of sexual preference,
F651,Disorders of sexual preference,
F652,Disorders of sexual preference,
F653,Disorders of sexual preference,
F654,Disorders of sexual preference,
F655,Disorders of sexual preference,
F656,Disorders of sexual preference,
F658,Disorders of sexual preference,
F659,Disorders of sexual preference,
F66,Psychological and behavioural disorders associated with sexual development and orientation,
F660,Psychological and behavioural disorders associated with sexual development and orientation,
F661,Psychological and behavioural disorders associated with sexual development and orientation,
F662,Psychological and behavioural disorders associated with sexual development and orientation,
F668,Psychological and behavioural disorders associated with sexual development and orientation,
F669,Psychological and behavioural disorders associated with sexual development and orientation,
F68,Other disorders of adult personality and behaviour,
F680,Other disorders of adult personality and behaviour,
F681,Other disorders of adult personality and behaviour,
F688,Other disorders of adult personality and behaviour,
F69,Unspecified disorder of adult personality and behaviour,
F70,Mild mental retardation,
F700,Mild mental retardation,
F701,Mild mental retardation,
F708,Mild mental retardation,
F709,Mild mental retardation,
F71,Moderate mental retardation,
F710,Moderate mental retardation,
F711,Moderate mental retardation,
F718,Moderate mental retardation,
F719,Moderate mental retardation,
F72,Severe mental retardation,
F720,Severe mental retardation,
F721,Severe mental retardation,
F728,Severe mental retardation,
F729,Severe mental retardation,
F73,Profound mental retardation,
F730,Profound mental retardation,
F731,Profound mental retardation,
F738,Profound mental retardation,
F739,Profound mental retardation,
F78,Other mental retardation,
F780,Other mental retardation,
F781,Other mental retardation,
F788,Other mental retardation,
F789,Other mental retardation,
F79,Unspecified mental retardation,
F790,Unspecified mental retardation,
F791,Unspecified mental retardation,
F798,Unspecified mental retardation,
F799,Unspecified mental retardation,
F80,Specific developmental disorders of speech and language,
F800,Specific developmental disorders of speech and language,
F801,Specific developmental disorders of speech and language,
F802,Specific developmental disorders of speech and language,
F803,Specific developmental disorders of speech and language,
F808,Specific developmental disorders of speech and language,
F809,Specific developmental disorders of speech and language,
F81,Specific developmental disorders of scholastic skills,
F810,Specific developmental disorders of scholastic skills,
F811,Specific developmental disorders of scholastic skills,
F812,Specific developmental disorders of scholastic skills,
F813,Specific developmental disorders of scholastic skills,
F818,Specific developmental disorders of scholastic skills,
F819,Specific developmental disorders of scholastic skills,
F82,Specific developmental disorder of motor function,
F83,Mixed specific developmental disorders,
F84,Pervasive developmental disorders,
F840,Pervasive developmental disorders,
F841,Pervasive developmental disorders,
F842,Pervasive developmental disorders,
F843,Pervasive developmental disorders,
F844,Pervasive developmental disorders,
F845,Pervasive developmental disorders,
F848,Pervasive developmental disorders,
F849,Pervasive developmental disorders,
F88,Other disorders of psychological development,
F89,Unspecified disorder of psychological development,
F90,Hyperkinetic disorders,
F900,Hyperkinetic disorders,
F901,Hyperkinetic disorders,
F908,Hyperkinetic disorders,
F909,Hyperkinetic disorders,
F91,Conduct disorders,
F910,Conduct disorders,
F911,Conduct disorders,
F912,Conduct disorders,
F913,Conduct disorders,
F918,Conduct disorders,
F919,Conduct disorders,
F92,Mixed disorders of conduct and emotions,
F920,Mixed disorders of conduct and emotions,
F928,Mixed disorders of conduct and emotions,
F929,Mixed disorders of conduct and emotions,
F93,Emotional disorders with onset specific to childhood,
F930,Emotional disorders with onset specific to childhood,
F931,Emotional disorders with onset specific to childhood,
F932,Emotional disorders with onset specific to childhood,
F933,Emotional disorders with onset specific to childhood,
F938,Emotional disorders with onset specific to childhood,
F939,Emotional disorders with onset specific to childhood,
F94,Disorders of social functioning with onset specific to childhood and adolescence,
F940,Disorders of social functioning with onset specific to childhood and adolescence,
F941,Disorders of social functioning with onset specific to childhood and adolescence,
F942,Disorders of social functioning with onset specific to childhood and adolescence,
F948,Disorders of social functioning with onset specific to childhood and adolescence,
F949,Disorders of social functioning with onset specific to childhood and adolescence,
F95,Tic disorders,
F950,Tic disorders,
F951,Tic disorders,
F952,Tic disorders,
F958,Tic disorders,
F959,Tic disorders,
F98,Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence,
F980,Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence,
F981,Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence,
F982,Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence,
F983,Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence,
F984,Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence,
F985,Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence,
F986,Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence,
F988,Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence,
F989,Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence,
F99,"Mental disorder, not otherwise specified",
G00,"Bacterial meningitis, not elsewhere classified",
G000,"Bacterial meningitis, not elsewhere classified",
G001,"Bacterial meningitis, not elsewhere classified",
G002,"Bacterial meningitis, not elsewhere classified",
G003,"Bacterial meningitis, not elsewhere classified",
G008,"Bacterial meningitis, not elsewhere classified",
G009,"Bacterial meningitis, not elsewhere classified",
G01,Meningitis in bacterial diseases classified elsewhere,
G02,Meningitis in other infectious and parasitic diseases classified elsewhere,
G020,Meningitis in other infectious and parasitic diseases classified elsewhere,
G021,Meningitis in other infectious and parasitic diseases classified elsewhere,
G028,Meningitis in other infectious and parasitic diseases classified elsewhere,
G03,Meningitis due to other and unspecified causes,
G030,Meningitis due to other and unspecified causes,
G031,Meningitis due to other and unspecified causes,
G032,Meningitis due to other and unspecified causes,
G038,Meningitis due to other and unspecified causes,
G039,Meningitis due to other and unspecified causes,
G04,"Encephalitis, myelitis and encephalomyelitis",
G040,"Encephalitis, myelitis and encephalomyelitis",
G041,"Encephalitis, myelitis and encephalomyelitis",
G042,"Encephalitis, myelitis and encephalomyelitis",
G048,"Encephalitis, myelitis and encephalomyelitis",
G049,"Encephalitis, myelitis and encephalomyelitis",
G05,"Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere",
G050,"Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere",
G051,"Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere",
G052,"Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere",
G058,"Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere",
G06,Intracranial and intraspinal abscess and granuloma,
G060,Intracranial and intraspinal abscess and granuloma,
G061,Intracranial and intraspinal abscess and granuloma,
G062,Intracranial and intraspinal abscess and granuloma,
G07,Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere,
G08,Intracranial and intraspinal phlebitis and thrombophlebitis,
G09,Sequelae of inflammatory diseases of central nervous system,
G10,Huntington disease,
G11,Hereditary ataxia,
G110,Hereditary ataxia,
G111,Hereditary ataxia,
G112,Hereditary ataxia,
G113,Hereditary ataxia,
G114,Hereditary ataxia,
G118,Hereditary ataxia,
G119,Hereditary ataxia,
G12,Spinal muscular atrophy and related syndromes,
G120,Spinal muscular atrophy and related syndromes,
G121,Spinal muscular atrophy and related syndromes,
G122,Spinal muscular atrophy and related syndromes,
G128,Spinal muscular atrophy and related syndromes,
G129,Spinal muscular atrophy and related syndromes,
G13,Systemic atrophies primarily affecting central nervous system in diseases classified elsewhere,
G130,Systemic atrophies primarily affecting central nervous system in diseases classified elsewhere,
G131,Systemic atrophies primarily affecting central nervous system in diseases classified elsewhere,
G132,Systemic atrophies primarily affecting central nervous system in diseases classified elsewhere,
G138,Systemic atrophies primarily affecting central nervous system in diseases classified elsewhere,
G14,Postpolio syndrome,
G20,Parkinson disease,
G21,Secondary parkinsonism,
G210,Secondary parkinsonism,
G211,Secondary parkinsonism,
G212,Secondary parkinsonism,
G213,Secondary parkinsonism,
G214,Secondary parkinsonism,
G218,Secondary parkinsonism,
G219,Secondary parkinsonism,
G22,Parkinsonism in diseases classified elsewhere,
G23,Other degenerative diseases of basal ganglia,
G230,Other degenerative diseases of basal ganglia,
G231,Other degenerative diseases of basal ganglia,
G232,Other degenerative diseases of basal ganglia,
G233,Other degenerative diseases of basal ganglia,
G238,Other degenerative diseases of basal ganglia,
G239,Other degenerative diseases of basal ganglia,
G24,Dystonia,
G240,Dystonia,
G241,Dystonia,
G242,Dystonia,
G243,Dystonia,
G244,Dystonia,
G245,Dystonia,
G248,Dystonia,
G249,Dystonia,
G25,Other extrapyramidal and movement disorders,
G250,Other extrapyramidal and movement disorders,
G251,Other extrapyramidal and movement disorders,
G252,Other extrapyramidal and movement disorders,
G253,Other extrapyramidal and movement disorders,
G254,Other extrapyramidal and movement disorders,
G255,Other extrapyramidal and movement disorders,
G256,Other extrapyramidal and movement disorders,
G258,Other extrapyramidal and movement disorders,
G259,Other extrapyramidal and movement disorders,
G26,Extrapyramidal and movement disorders in diseases classified elsewhere,
G30,Alzheimer disease,
G300,Alzheimer disease,
G301,Alzheimer disease,
G308,Alzheimer disease,
G309,Alzheimer disease,
G31,"Other degenerative diseases of nervous system, not elsewhere classified",
G310,"Other degenerative diseases of nervous system, not elsewhere classified",
G311,"Other degenerative diseases of nervous system, not elsewhere classified",
G312,"Other degenerative diseases of nervous system, not elsewhere classified",
G318,"Other degenerative diseases of nervous system, not elsewhere classified",
G319,"Other degenerative diseases of nervous system, not elsewhere classified",
G32,Other degenerative disorders of nervous system in diseases classified elsewhere,
G320,Other degenerative disorders of nervous system in diseases classified elsewhere,
G328,Other degenerative disorders of nervous system in diseases classified elsewhere,
G35,Multiple sclerosis,
G36,Other acute disseminated demyelination,
G360,Other acute disseminated demyelination,
G361,Other acute disseminated demyelination,
G368,Other acute disseminated demyelination,
G369,Other acute disseminated demyelination,
G37,Other demyelinating diseases of central nervous system,
G370,Other demyelinating diseases of central nervous system,
G371,Other demyelinating diseases of central nervous system,
G372,Other demyelinating diseases of central nervous system,
G373,Other demyelinating diseases of central nervous system,
G374,Other demyelinating diseases of central nervous system,
G375,Other demyelinating diseases of central nervous system,
G378,Other demyelinating diseases of central nervous system,
G379,Other demyelinating diseases of central nervous system,
G40,Epilepsy,
G400,Epilepsy,
G401,Epilepsy,
G402,Epilepsy,
G403,Epilepsy,
G404,Epilepsy,
G405,Epilepsy,
G406,Epilepsy,
G407,Epilepsy,
G408,Epilepsy,
G409,Epilepsy,
G41,Status epilepticus,
G410,Status epilepticus,
G411,Status epilepticus,
G412,Status epilepticus,
G418,Status epilepticus,
G419,Status epilepticus,
G43,Migraine,
G430,Migraine,
G431,Migraine,
G432,Migraine,
G433,Migraine,
G438,Migraine,
G439,Migraine,
G44,Other headache syndromes,
G440,Other headache syndromes,
G441,Other headache syndromes,
G442,Other headache syndromes,
G443,Other headache syndromes,
G444,Other headache syndromes,
G448,Other headache syndromes,
G45,Transient cerebral ischaemic attacks and related syndromes,
G450,Transient cerebral ischaemic attacks and related syndromes,
G451,Transient cerebral ischaemic attacks and related syndromes,
G452,Transient cerebral ischaemic attacks and related syndromes,
G453,Transient cerebral ischaemic attacks and related syndromes,
G454,Transient cerebral ischaemic attacks and related syndromes,
G458,Transient cerebral ischaemic attacks and related syndromes,
G459,Transient cerebral ischaemic attacks and related syndromes,
G46,Vascular syndromes of brain in cerebrovascular diseases,
G460,Vascular syndromes of brain in cerebrovascular diseases,
G461,Vascular syndromes of brain in cerebrovascular diseases,
G462,Vascular syndromes of brain in cerebrovascular diseases,
G463,Vascular syndromes of brain in cerebrovascular diseases,
G464,Vascular syndromes of brain in cerebrovascular diseases,
G465,Vascular syndromes of brain in cerebrovascular diseases,
G466,Vascular syndromes of brain in cerebrovascular diseases,
G467,Vascular syndromes of brain in cerebrovascular diseases,
G468,Vascular syndromes of brain in cerebrovascular diseases,
G47,Sleep disorders,
G470,Sleep disorders,
G471,Sleep disorders,
G472,Sleep disorders,
G473,Sleep disorders,
G474,Sleep disorders,
G478,Sleep disorders,
G479,Sleep disorders,
G50,Disorders of trigeminal nerve,
G500,Disorders of trigeminal nerve,
G501,Disorders of trigeminal nerve,
G508,Disorders of trigeminal nerve,
G509,Disorders of trigeminal nerve,
G51,Facial nerve disorders,
G510,Facial nerve disorders,
G511,Facial nerve disorders,
G512,Facial nerve disorders,
G513,Facial nerve disorders,
G514,Facial nerve disorders,
G518,Facial nerve disorders,
G519,Facial nerve disorders,
G52,Disorders of other cranial nerves,
G520,Disorders of other cranial nerves,
G521,Disorders of other cranial nerves,
G522,Disorders of other cranial nerves,
G523,Disorders of other cranial nerves,
G527,Disorders of other cranial nerves,
G528,Disorders of other cranial nerves,
G529,Disorders of other cranial nerves,
G53,Cranial nerve disorders in diseases classified elsewhere,
G530,Cranial nerve disorders in diseases classified elsewhere,
G531,Cranial nerve disorders in diseases classified elsewhere,
G532,Cranial nerve disorders in diseases classified elsewhere,
G533,Cranial nerve disorders in diseases classified elsewhere,
G538,Cranial nerve disorders in diseases classified elsewhere,
G54,Nerve root and plexus disorders,
G540,Nerve root and plexus disorders,
G541,Nerve root and plexus disorders,
G542,Nerve root and plexus disorders,
G543,Nerve root and plexus disorders,
G544,Nerve root and plexus disorders,
G545,Nerve root and plexus disorders,
G546,Nerve root and plexus disorders,
G547,Nerve root and plexus disorders,
G548,Nerve root and plexus disorders,
G549,Nerve root and plexus disorders,
G55,Nerve root and plexus compressions in diseases classified elsewhere,
G550,Nerve root and plexus compressions in diseases classified elsewhere,
G551,Nerve root and plexus compressions in diseases classified elsewhere,
G552,Nerve root and plexus compressions in diseases classified elsewhere,
G553,Nerve root and plexus compressions in diseases classified elsewhere,
G558,Nerve root and plexus compressions in diseases classified elsewhere,
G56,Mononeuropathies of upper limb,
G560,Mononeuropathies of upper limb,
G561,Mononeuropathies of upper limb,
G562,Mononeuropathies of upper limb,
G563,Mononeuropathies of upper limb,
G568,Mononeuropathies of upper limb,
G569,Mononeuropathies of upper limb,
G57,Mononeuropathies of lower limb,
G570,Mononeuropathies of lower limb,
G571,Mononeuropathies of lower limb,
G572,Mononeuropathies of lower limb,
G573,Mononeuropathies of lower limb,
G574,Mononeuropathies of lower limb,
G575,Mononeuropathies of lower limb,
G576,Mononeuropathies of lower limb,
G578,Mononeuropathies of lower limb,
G579,Mononeuropathies of lower limb,
G58,Other mononeuropathies,
G580,Other mononeuropathies,
G587,Other mononeuropathies,
G588,Other mononeuropathies,
G589,Other mononeuropathies,
G59,Mononeuropathy in diseases classified elsewhere,
G590,Mononeuropathy in diseases classified elsewhere,
G598,Mononeuropathy in diseases classified elsewhere,
G60,Hereditary and idiopathic neuropathy,
G600,Hereditary and idiopathic neuropathy,
G601,Hereditary and idiopathic neuropathy,
G602,Hereditary and idiopathic neuropathy,
G603,Hereditary and idiopathic neuropathy,
G608,Hereditary and idiopathic neuropathy,
G609,Hereditary and idiopathic neuropathy,
G61,Inflammatory polyneuropathy,
G610,Inflammatory polyneuropathy,
G611,Inflammatory polyneuropathy,
G618,Inflammatory polyneuropathy,
G619,Inflammatory polyneuropathy,
G62,Other polyneuropathies,
G620,Other polyneuropathies,
G621,Other polyneuropathies,
G622,Other polyneuropathies,
G628,Other polyneuropathies,
G629,Other polyneuropathies,
G63,Polyneuropathy in diseases classified elsewhere,
G630,Polyneuropathy in diseases classified elsewhere,
G631,Polyneuropathy in diseases classified elsewhere,
G632,Polyneuropathy in diseases classified elsewhere,
G633,Polyneuropathy in diseases classified elsewhere,
G634,Polyneuropathy in diseases classified elsewhere,
G635,Polyneuropathy in diseases classified elsewhere,
G636,Polyneuropathy in diseases classified elsewhere,
G638,Polyneuropathy in diseases classified elsewhere,
G64,Other disorders of peripheral nervous system,
G70,Myasthenia gravis and other myoneural disorders,
G700,Myasthenia gravis and other myoneural disorders,
G701,Myasthenia gravis and other myoneural disorders,
G702,Myasthenia gravis and other myoneural disorders,
G708,Myasthenia gravis and other myoneural disorders,
G709,Myasthenia gravis and other myoneural disorders,
G71,Primary disorders of muscles,
G710,Primary disorders of muscles,
G711,Primary disorders of muscles,
G712,Primary disorders of muscles,
G713,Primary disorders of muscles,
G718,Primary disorders of muscles,
G719,Primary disorders of muscles,
G72,Other myopathies,
G720,Other myopathies,
G721,Other myopathies,
G722,Other myopathies,
G723,Other myopathies,
G724,Other myopathies,
G728,Other myopathies,
G729,Other myopathies,
G73,Disorders of myoneural junction and muscle in diseases classified elsewhere,
G730,Disorders of myoneural junction and muscle in diseases classified elsewhere,
G731,Disorders of myoneural junction and muscle in diseases classified elsewhere,
G732,Disorders of myoneural junction and muscle in diseases classified elsewhere,
G733,Disorders of myoneural junction and muscle in diseases classified elsewhere,
G734,Disorders of myoneural junction and muscle in diseases classified elsewhere,
G735,Disorders of myoneural junction and muscle in diseases classified elsewhere,
G736,Disorders of myoneural junction and muscle in diseases classified elsewhere,
G737,Disorders of myoneural junction and muscle in diseases classified elsewhere,
G80,Cerebral palsy,
G800,Cerebral palsy,
G801,Cerebral palsy,
G802,Cerebral palsy,
G803,Cerebral palsy,
G804,Cerebral palsy,
G808,Cerebral palsy,
G809,Cerebral palsy,
G81,Hemiplegia,
G810,Hemiplegia,
G811,Hemiplegia,
G819,Hemiplegia,
G82,Paraplegia and tetraplegia,
G820,Paraplegia and tetraplegia,
G821,Paraplegia and tetraplegia,
G822,Paraplegia and tetraplegia,
G823,Paraplegia and tetraplegia,
G824,Paraplegia and tetraplegia,
G825,Paraplegia and tetraplegia,
G83,Other paralytic syndromes,
G830,Other paralytic syndromes,
G831,Other paralytic syndromes,
G832,Other paralytic syndromes,
G833,Other paralytic syndromes,
G834,Other paralytic syndromes,
G835,Other paralytic syndromes,
G836,Other paralytic syndromes,
G838,Other paralytic syndromes,
G839,Other paralytic syndromes,
G90,Disorders of autonomic nervous system,
G900,Disorders of autonomic nervous system,
G901,Disorders of autonomic nervous system,
G902,Disorders of autonomic nervous system,
G904,Disorders of autonomic nervous system,
G905,Disorders of autonomic nervous system,
G906,Disorders of autonomic nervous system,
G907,Disorders of autonomic nervous system,
G908,Disorders of autonomic nervous system,
G909,Disorders of autonomic nervous system,
G91,Hydrocephalus,
G910,Hydrocephalus,
G911,Hydrocephalus,
G912,Hydrocephalus,
G913,Hydrocephalus,
G918,Hydrocephalus,
G919,Hydrocephalus,
G92,Toxic encephalopathy,
G93,Other disorders of brain,
G930,Other disorders of brain,
G931,Other disorders of brain,
G932,Other disorders of brain,
G933,Other disorders of brain,
G934,Other disorders of brain,
G935,Other disorders of brain,
G936,Other disorders of brain,
G937,Other disorders of brain,
G938,Other disorders of brain,
G939,Other disorders of brain,
G94,Other disorders of brain in diseases classified elsewhere,
G940,Other disorders of brain in diseases classified elsewhere,
G941,Other disorders of brain in diseases classified elsewhere,
G942,Other disorders of brain in diseases classified elsewhere,
G943,Other disorders of brain in diseases classified elsewhere,
G948,Other disorders of brain in diseases classified elsewhere,
G95,Other diseases of spinal cord,
G950,Other diseases of spinal cord,
G951,Other diseases of spinal cord,
G952,Other diseases of spinal cord,
G958,Other diseases of spinal cord,
G959,Other diseases of spinal cord,
G96,Other disorders of central nervous system,
G960,Other disorders of central nervous system,
G961,Other disorders of central nervous system,
G968,Other disorders of central nervous system,
G969,Other disorders of central nervous system,
G97,"Postprocedural disorders of nervous system, not elsewhere classified",
G970,"Postprocedural disorders of nervous system, not elsewhere classified",
G971,"Postprocedural disorders of nervous system, not elsewhere classified",
G972,"Postprocedural disorders of nervous system, not elsewhere classified",
G978,"Postprocedural disorders of nervous system, not elsewhere classified",
G979,"Postprocedural disorders of nervous system, not elsewhere classified",
G98,"Other disorders of nervous system, not elsewhere classified",
G99,Other disorders of nervous system in diseases classified elsewhere,
G990,Other disorders of nervous system in diseases classified elsewhere,
G991,Other disorders of nervous system in diseases classified elsewhere,
G992,Other disorders of nervous system in diseases classified elsewhere,
G998,Other disorders of nervous system in diseases classified elsewhere,
H00,Hordeolum and chalazion,
H000,Hordeolum and chalazion,
H001,Hordeolum and chalazion,
H01,Other inflammation of eyelid,
H010,Other inflammation of eyelid,
H011,Other inflammation of eyelid,
H018,Other inflammation of eyelid,
H019,Other inflammation of eyelid,
H02,Other disorders of eyelid,
H020,Other disorders of eyelid,
H021,Other disorders of eyelid,
H022,Other disorders of eyelid,
H023,Other disorders of eyelid,
H024,Other disorders of eyelid,
H025,Other disorders of eyelid,
H026,Other disorders of eyelid,
H027,Other disorders of eyelid,
H028,Other disorders of eyelid,
H029,Other disorders of eyelid,
H03,Disorders of eyelid in diseases classified elsewhere,
H030,Disorders of eyelid in diseases classified elsewhere,
H031,Disorders of eyelid in diseases classified elsewhere,
H038,Disorders of eyelid in diseases classified elsewhere,
H04,Disorders of lacrimal system,
H040,Disorders of lacrimal system,
H041,Disorders of lacrimal system,
H042,Disorders of lacrimal system,
H043,Disorders of lacrimal system,
H044,Disorders of lacrimal system,
H045,Disorders of lacrimal system,
H046,Disorders of lacrimal system,
H048,Disorders of lacrimal system,
H049,Disorders of lacrimal system,
H05,Disorders of orbit,
H050,Disorders of orbit,
H051,Disorders of orbit,
H052,Disorders of orbit,
H053,Disorders of orbit,
H054,Disorders of orbit,
H055,Disorders of orbit,
H058,Disorders of orbit,
H059,Disorders of orbit,
H06,Disorders of lacrimal system and orbit in diseases classified elsewhere,
H060,Disorders of lacrimal system and orbit in diseases classified elsewhere,
H061,Disorders of lacrimal system and orbit in diseases classified elsewhere,
H062,Disorders of lacrimal system and orbit in diseases classified elsewhere,
H063,Disorders of lacrimal system and orbit in diseases classified elsewhere,
H10,Conjunctivitis,
H100,Conjunctivitis,
H101,Conjunctivitis,
H102,Conjunctivitis,
H103,Conjunctivitis,
H104,Conjunctivitis,
H105,Conjunctivitis,
H108,Conjunctivitis,
H109,Conjunctivitis,
H11,Other disorders of conjunctiva,
H110,Other disorders of conjunctiva,
H111,Other disorders of conjunctiva,
H112,Other disorders of conjunctiva,
H113,Other disorders of conjunctiva,
H114,Other disorders of conjunctiva,
H118,Other disorders of conjunctiva,
H119,Other disorders of conjunctiva,
H13,Disorders of conjunctiva in diseases classified elsewhere,
H130,Disorders of conjunctiva in diseases classified elsewhere,
H131,Disorders of conjunctiva in diseases classified elsewhere,
H132,Disorders of conjunctiva in diseases classified elsewhere,
H133,Disorders of conjunctiva in diseases classified elsewhere,
H138,Disorders of conjunctiva in diseases classified elsewhere,
H15,Disorders of sclera,
H150,Disorders of sclera,
H151,Disorders of sclera,
H158,Disorders of sclera,
H159,Disorders of sclera,
H16,Keratitis,
H160,Keratitis,
H161,Keratitis,
H162,Keratitis,
H163,Keratitis,
H164,Keratitis,
H168,Keratitis,
H169,Keratitis,
H17,Corneal scars and opacities,
H170,Corneal scars and opacities,
H171,Corneal scars and opacities,
H178,Corneal scars and opacities,
H179,Corneal scars and opacities,
H18,Other disorders of cornea,
H180,Other disorders of cornea,
H181,Other disorders of cornea,
H182,Other disorders of cornea,
H183,Other disorders of cornea,
H184,Other disorders of cornea,
H185,Other disorders of cornea,
H186,Other disorders of cornea,
H187,Other disorders of cornea,
H188,Other disorders of cornea,
H189,Other disorders of cornea,
H19,Disorders of sclera and cornea in diseases classified elsewhere,
H190,Disorders of sclera and cornea in diseases classified elsewhere,
H191,Disorders of sclera and cornea in diseases classified elsewhere,
H192,Disorders of sclera and cornea in diseases classified elsewhere,
H193,Disorders of sclera and cornea in diseases classified elsewhere,
H198,Disorders of sclera and cornea in diseases classified elsewhere,
H20,Iridocyclitis,
H200,Iridocyclitis,
H201,Iridocyclitis,
H202,Iridocyclitis,
H208,Iridocyclitis,
H209,Iridocyclitis,
H21,Other disorders of iris and ciliary body,
H210,Other disorders of iris and ciliary body,
H211,Other disorders of iris and ciliary body,
H212,Other disorders of iris and ciliary body,
H213,Other disorders of iris and ciliary body,
H214,Other disorders of iris and ciliary body,
H215,Other disorders of iris and ciliary body,
H218,Other disorders of iris and ciliary body,
H219,Other disorders of iris and ciliary body,
H22,Disorders of iris and ciliary body in diseases classified elsewhere,
H220,Disorders of iris and ciliary body in diseases classified elsewhere,
H221,Disorders of iris and ciliary body in diseases classified elsewhere,
H228,Disorders of iris and ciliary body in diseases classified elsewhere,
H25,Senile cataract,
H250,Senile cataract,
H251,Senile cataract,
H252,Senile cataract,
H258,Senile cataract,
H259,Senile cataract,
H26,Other cataract,
H260,Other cataract,
H261,Other cataract,
H262,Other cataract,
H263,Other cataract,
H264,Other cataract,
H268,Other cataract,
H269,Other cataract,
H27,Other disorders of lens,
H270,Other disorders of lens,
H271,Other disorders of lens,
H278,Other disorders of lens,
H279,Other disorders of lens,
H28,Cataract and other disorders of lens in diseases classified elsewhere,
H280,Cataract and other disorders of lens in diseases classified elsewhere,
H281,Cataract and other disorders of lens in diseases classified elsewhere,
H282,Cataract and other disorders of lens in diseases classified elsewhere,
H288,Cataract and other disorders of lens in diseases classified elsewhere,
H30,Chorioretinal inflammation,
H300,Chorioretinal inflammation,
H301,Chorioretinal inflammation,
H302,Chorioretinal inflammation,
H308,Chorioretinal inflammation,
H309,Chorioretinal inflammation,
H31,Other disorders of choroid,
H310,Other disorders of choroid,
H311,Other disorders of choroid,
H312,Other disorders of choroid,
H313,Other disorders of choroid,
H314,Other disorders of choroid,
H318,Other disorders of choroid,
H319,Other disorders of choroid,
H32,Chorioretinal disorders in diseases classified elsewhere,
H320,Chorioretinal disorders in diseases classified elsewhere,
H328,Chorioretinal disorders in diseases classified elsewhere,
H33,Retinal detachments and breaks,
H330,Retinal detachments and breaks,
H331,Retinal detachments and breaks,
H332,Retinal detachments and breaks,
H333,Retinal detachments and breaks,
H334,Retinal detachments and breaks,
